steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
101,1,-1.0,101,-1.0,0,2.0
202,2,0.0,101,1.0,1,2.0
303,3,1.0,101,1.0,2,2.0
404,4,0.0,101,-1.0,2,4.0
505,5,1.0,101,1.0,3,4.0
606,6,0.0,101,-1.0,3,6.0
707,7,1.0,101,1.0,4,6.0
808,8,0.0,101,-1.0,4,8.0
909,9,-1.0,101,-1.0,4,10.0
1010,10,-2.0,101,-1.0,4,12.0
1212,12,0.0,101,1.0,6,12.0
1414,14,0.0,101,-1.0,7,14.0
1717,17,1.0,101,1.0,9,16.0
2020,20,0.0,101,-1.0,10,20.0
2525,25,1.0,101,1.0,13,24.0
3030,30,0.0,101,1.0,15,30.0
4040,40,4.0,101,1.0,22,36.0
5050,50,2.0,101,-1.0,26,48.0
6060,60,-2.0,101,1.0,29,62.0
7070,70,0.0,101,-1.0,35,70.0
8080,80,0.0,101,1.0,40,80.0
9090,90,-4.0,101,-1.0,43,94.0
10100,100,-6.0,101,1.0,47,106.0
12120,120,-4.0,101,1.0,58,124.0
14140,140,2.0,101,1.0,71,138.0
17170,170,4.0,101,1.0,87,166.0
20200,200,4.0,101,1.0,102,196.0
25250,250,6.0,101,-1.0,128,244.0
30300,300,6.0,101,1.0,153,294.0
40400,400,6.0,101,1.0,203,394.0
50500,500,12.0,101,-1.0,256,488.0
60600,600,16.0,101,1.0,308,584.0
70700,700,-4.0,101,-1.0,348,704.0
80800,800,-8.0,101,-1.0,396,808.0
90900,900,8.0,101,1.0,454,892.0
101000,1000,18.0,101,-1.0,509,982.0
121200,1200,14.0,101,-1.0,607,1186.0
141400,1400,12.0,101,-1.0,706,1388.0
171700,1700,40.0,101,-1.0,870,1660.0
202000,2000,28.0,101,-1.0,1014,1972.0
252500,2500,-14.0,101,1.0,1243,2514.0
303000,3000,-12.0,101,1.0,1494,3012.0
404000,4000,-50.0,101,-1.0,1975,4050.0
505000,5000,-12.0,101,1.0,2494,5012.0
606000,6000,-56.0,101,1.0,2972,6056.0
707000,7000,-24.0,101,1.0,3488,7024.0
808000,8000,-12.0,101,-1.0,3994,8012.0
909000,9000,-26.0,101,-1.0,4487,9026.0
1010000,10000,-26.0,101,1.0,4987,10026.0
