steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-1271.6194838725564,1000,-1271.6194838725564,-1000.0
2000,2,-2248.282631882812,1000,-976.6631480102569,-2000.0
3000,3,-3262.775273127951,1000,-1014.4926412451351,-3000.0
4000,4,-4201.535996688931,1000,-938.7607235609719,-4000.0
5000,5,-5154.6824109783865,1000,-953.1464142894578,-5000.0
6000,6,-6149.363085538418,1000,-994.6806745600345,-6000.0
7000,7,-7264.499215597612,1000,-1115.1361300591857,-7000.0
8000,8,-8383.836294904355,1000,-1119.3370793067406,-8000.0
9000,9,-9551.716519924044,1000,-1167.8802250196698,-9000.0
10000,10,-10529.44628777161,1000,-977.7297678475782,-10000.0
12000,12,-12560.662230733607,1000,-943.9949246517104,-12000.0
14000,14,-14470.624704873517,1000,-930.3015021741314,-14000.0
17000,17,-17353.39051194001,1000,-1085.8776426482784,-17000.0
20000,20,-20392.42570598372,1000,-936.3947140068422,-20000.0
25000,25,-25337.43556551018,1000,-1117.9540510152897,-25000.0
30000,30,-30630.92148575976,1000,-1045.8719964271286,-30000.0
40000,40,-40773.16952750034,1000,-925.715379515256,-40000.0
50000,50,-50732.02910860513,1000,-951.8249047487839,-50000.0
60000,60,-61312.85487217031,1000,-1118.7014056627315,-60000.0
70000,70,-71044.25101083453,1000,-877.5961054727308,-70000.0
80000,80,-81225.42294751033,1000,-1011.4424990584148,-80000.0
90000,90,-91333.44368705679,1000,-919.8090979942934,-90000.0
100000,100,-101385.32693803345,1000,-861.7862269993375,-100000.0
120000,120,-121035.00583594873,1000,-862.4708868850163,-120000.0
140000,140,-141352.29004482174,1000,-1085.8691755362788,-140000.0
170000,170,-171891.28442552878,1000,-1148.6348401838031,-170000.0
200000,200,-201996.70248479198,1000,-1010.4657609501234,-200000.0
250000,250,-251701.8340021904,1000,-1086.6682502508852,-250000.0
300000,300,-301222.5803833188,1000,-1138.6123543172903,-300000.0
400000,400,-399486.0831479712,1000,-1025.4443131952644,-400000.0
500000,500,-500000.81224621035,1000,-816.5673054707289,-500000.0
600000,600,-600594.3576860109,1000,-973.4683169518834,-600000.0
700000,700,-702275.3847826706,1000,-1044.991125943986,-700000.0
799914,800,-802680.7524338992,1000,-1164.1617214123285,-799914.0
899914,900,-902757.057131147,1000,-848.5144433679469,-899914.0
999914,1000,-1002971.1605089045,1000,-911.6724807949082,-999914.0
