steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
356,1,-24.100000000000072,356,-24.100000000000072,-24.100000000000072,0.0,0.0
790,2,-53.50000000000049,434,-29.400000000000148,-53.50000000000049,0.0,0.0
1578,3,-104.89999999999831,788,-51.40000000000046,-104.89999999999831,0.0,0.0
2579,4,-169.49999999999466,1001,-64.6000000000006,-169.49999999999466,0.0,0.0
2889,5,-189.7999999999935,310,-20.30000000000002,-189.7999999999935,0.0,0.0
3465,6,-228.29999999999131,576,-38.50000000000028,-228.29999999999131,0.0,0.0
3690,7,-244.09999999999042,225,-15.79999999999996,-244.09999999999042,0.0,0.0
3907,8,-257.5999999999901,217,-13.499999999999968,-257.5999999999901,0.0,0.0
4908,9,-323.00000000000495,1001,-65.40000000000056,-323.00000000000495,0.0,0.0
5560,10,-365.1000000000145,652,-42.10000000000033,-365.1000000000145,0.0,0.0
7562,12,-497.10000000004453,1001,-66.5000000000005,-497.10000000004453,0.0,0.0
8818,14,-582.4000000000639,255,-18.19999999999999,-582.4000000000639,0.0,0.0
10053,17,-664.4000000000825,258,-17.799999999999983,-664.4000000000825,0.0,0.0
11300,20,-748.0000000001015,527,-35.40000000000023,-748.0000000001015,0.0,0.0
13934,25,-921.9000000001411,396,-26.500000000000107,-921.9000000001411,0.0,0.0
15611,30,-1033.5000000001555,377,-24.70000000000008,-1033.5000000001555,0.0,0.0
20311,40,-1347.5999999998699,937,-60.900000000000595,-1347.5999999998699,0.0,0.0
25487,50,-1689.399999999559,821,-54.500000000000504,-1689.399999999559,0.0,0.0
29716,60,-1974.2999999992999,261,-17.69999999999998,-1974.2999999992999,0.0,0.0
35267,70,-2342.699999998965,685,-42.30000000000033,-2342.699999998965,0.0,0.0
40580,80,-2691.7999999986473,498,-33.2000000000002,-2691.7999999986473,0.0,0.0
46459,90,-3085.2999999982894,453,-31.60000000000018,-3085.2999999982894,0.0,0.0
52666,100,-3496.5999999979153,453,-29.100000000000144,-3496.5999999979153,0.0,0.0
63894,120,-4246.699999997918,431,-28.600000000000136,-4246.699999997918,0.0,0.0
74563,140,-4953.300000000489,313,-19.300000000000004,-4953.300000000489,0.0,0.0
91145,170,-6051.7000000044845,1001,-67.80000000000042,-6051.7000000044845,0.0,0.0
106948,200,-7101.800000008305,1001,-66.70000000000049,-7101.800000008305,0.0,0.0
133106,250,-8849.100000014661,410,-27.100000000000115,-8849.100000014661,0.0,0.0
162047,300,-10781.800000021693,627,-40.60000000000031,-10781.800000021693,0.0,0.0
215146,400,-14302.700000034501,576,-38.00000000000027,-14302.700000034501,0.0,0.0
267227,500,-17774.800000021834,674,-44.10000000000036,-17774.800000021834,0.0,0.0
324167,600,-21574.49999996654,703,-47.80000000000041,-21574.49999996654,0.0,0.0
379627,700,-25290.89999991246,632,-41.50000000000032,-25290.89999991246,0.0,0.0
429345,800,-28621.399999863996,560,-36.70000000000025,-28621.399999863996,0.0,0.0
479593,900,-31975.29999981519,465,-30.100000000000158,-31975.29999981519,0.0,0.0
533641,1000,-35601.599999762424,296,-18.799999999999997,-35601.599999762424,0.0,0.0
