steps,episode,total_return,episode_len,episode_return,total_regret
14,1,2.0,14,2.0,2.0
28,2,4.0,14,2.0,2.0
42,3,2.0,14,-2.0,4.0
56,4,0.0,14,-2.0,6.0
70,5,-4.0,14,-4.0,6.0
84,6,-6.0,14,-2.0,8.0
98,7,-8.0,14,-2.0,8.0
112,8,-8.0,14,0.0,10.0
126,9,-14.0,14,-6.0,12.0
140,10,-10.0,14,4.0,12.0
168,12,-18.0,14,-2.0,14.0
196,14,-16.0,14,0.0,16.0
238,17,-18.0,14,4.0,20.0
280,20,-18.0,14,8.0,22.0
350,25,-24.0,14,-2.0,26.0
420,30,-14.0,14,2.0,32.0
560,40,2.0,14,10.0,36.0
700,50,10.0,14,2.0,44.0
840,60,14.0,14,4.0,54.0
980,70,-2.0,14,-2.0,62.0
1120,80,-18.0,14,-2.0,78.0
1260,90,-28.0,14,2.0,88.0
1400,100,-18.0,14,0.0,94.0
1680,120,-14.0,14,2.0,118.0
1960,140,-16.0,14,4.0,138.0
2380,170,22.0,14,4.0,176.0
2800,200,26.0,14,-2.0,212.0
3500,250,62.0,14,0.0,258.0
4200,300,110.0,14,-2.0,308.0
5600,400,58.0,14,-4.0,418.0
7000,500,70.0,14,2.0,528.0
8400,600,54.0,14,-2.0,646.0
9800,700,20.0,14,2.0,748.0
11200,800,20.0,14,4.0,858.0
12600,900,12.0,14,6.0,962.0
14000,1000,-54.0,14,2.0,1068.0
16800,1200,-38.0,14,-4.0,1226.0
19600,1400,-86.0,14,-4.0,1440.0
23800,1700,-112.0,14,-6.0,1744.0
28000,2000,-122.0,14,0.0,2034.0
35000,2500,-122.0,14,6.0,2534.0
42000,3000,-236.0,14,4.0,3010.0
56000,4000,-326.0,14,-6.0,3996.0
70000,5000,-202.0,14,-2.0,4984.0
84000,6000,-116.0,14,2.0,6014.0
98000,7000,20.0,14,-6.0,7000.0
112000,8000,-56.0,14,0.0,7966.0
126000,9000,60.0,14,4.0,8982.0
140000,10000,220.0,14,2.0,9948.0
