steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-995.6164827595933,1000,-995.6164827595933,-1000.0
2000,2,-1991.7935722167288,1000,-996.1770894571318,-2000.0
3000,3,-2989.7297734128238,1000,-997.9362011960952,-3000.0
4000,4,-3988.2428602399696,1000,-998.5130868271434,-4000.0
5000,5,-4982.176169275164,1000,-993.9333090351931,-5000.0
6000,6,-5982.389344642658,1000,-1000.213175367483,-6000.0
7000,7,-6984.316429836674,1000,-1001.927085193999,-7000.0
8000,8,-7982.783326736143,1000,-998.466896899471,-8000.0
9000,9,-8992.390467311021,1000,-1009.6071405748569,-9000.0
10000,10,-9991.497689756117,1000,-999.1072224451052,-10000.0
12000,12,-11996.680255763291,1000,-999.1011839560252,-12000.0
14000,14,-14000.890090877203,1000,-1004.2054981138423,-14000.0
17000,17,-17000.03145149576,1000,-1000.3320807980398,-17000.0
20000,20,-19997.449487994465,1000,-998.1370306372669,-20000.0
25000,25,-24990.811661177246,1000,-996.8288313209432,-25000.0
30000,30,-29995.576511920375,1000,-1004.1033049380002,-30000.0
40000,40,-39985.87028665775,1000,-994.9914276803241,-40000.0
50000,50,-49984.14239776914,1000,-1008.1140538187974,-50000.0
60000,60,-59959.20349066415,1000,-999.1596220329714,-60000.0
70000,70,-69948.76155766968,1000,-998.8966251284664,-70000.0
80000,80,-79948.59961753509,1000,-1002.7800144269008,-80000.0
90000,90,-89959.63540864993,1000,-998.7054351443652,-90000.0
100000,100,-99941.25908513047,1000,-991.4908135801227,-100000.0
120000,120,-119933.27990375138,1000,-999.6238043927901,-120000.0
140000,140,-139915.18689805534,1000,-1002.0482189222818,-140000.0
170000,170,-169929.42490764902,1000,-999.2694819643939,-170000.0
200000,200,-199932.02284413198,1000,-995.248483625543,-200000.0
250000,250,-249964.3430411546,1000,-1002.09292757382,-250000.0
300000,300,-299989.13510222384,1000,-1003.2893160967675,-300000.0
400000,400,-400026.22664819047,1000,-998.8341187538246,-400000.0
500000,500,-500016.1877048866,1000,-996.9289154698382,-500000.0
600000,600,-600004.9305620976,1000,-998.9910758985948,-600000.0
700000,700,-700003.466792026,1000,-996.5556034572894,-700000.0
800000,800,-800020.2256683866,1000,-1001.5923152437272,-800000.0
900000,900,-900065.4896183339,1000,-1002.1372837276415,-900000.0
1000000,1000,-1000064.5380111453,1000,-1000.2932240223378,-1000000.0
