steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
26,1,1.0,26,1.0,1,0.0
52,2,2.0,26,1.0,2,0.0
78,3,1.0,26,-1.0,2,2.0
104,4,0.0,26,-1.0,2,4.0
130,5,-1.0,26,-1.0,2,6.0
156,6,-2.0,26,-1.0,2,8.0
182,7,-1.0,26,1.0,3,8.0
208,8,0.0,26,1.0,4,8.0
234,9,-1.0,26,-1.0,4,10.0
260,10,0.0,26,1.0,5,10.0
312,12,0.0,26,1.0,6,12.0
364,14,0.0,26,-1.0,7,14.0
442,17,-1.0,26,-1.0,8,18.0
520,20,2.0,26,1.0,11,18.0
650,25,3.0,26,-1.0,14,22.0
780,30,0.0,26,-1.0,15,30.0
1040,40,-2.0,26,1.0,19,42.0
1300,50,-6.0,26,-1.0,22,56.0
1560,60,-4.0,26,1.0,28,64.0
1820,70,0.0,26,1.0,35,70.0
2080,80,0.0,26,-1.0,40,80.0
2340,90,0.0,26,-1.0,45,90.0
2600,100,0.0,26,-1.0,50,100.0
3120,120,0.0,26,-1.0,60,120.0
3640,140,4.0,26,1.0,72,136.0
4420,170,8.0,26,-1.0,89,162.0
5200,200,22.0,26,1.0,111,178.0
6500,250,24.0,26,1.0,137,226.0
7800,300,22.0,26,1.0,161,278.0
10400,400,32.0,26,1.0,216,368.0
13000,500,24.0,26,1.0,262,476.0
15600,600,20.0,26,1.0,310,580.0
18200,700,8.0,26,-1.0,354,692.0
20800,800,8.0,26,1.0,404,792.0
23400,900,24.0,26,-1.0,462,876.0
26000,1000,36.0,26,1.0,518,964.0
31200,1200,32.0,26,1.0,616,1168.0
36400,1400,28.0,26,1.0,714,1372.0
44200,1700,46.0,26,-1.0,873,1654.0
52000,2000,54.0,26,-1.0,1027,1946.0
65000,2500,32.0,26,-1.0,1266,2468.0
78000,3000,16.0,26,1.0,1508,2984.0
104000,4000,10.0,26,-1.0,2005,3990.0
130000,5000,-24.0,26,-1.0,2488,5024.0
156000,6000,-62.0,26,-1.0,2969,6062.0
182000,7000,-94.0,26,-1.0,3453,7094.0
208000,8000,-102.0,26,-1.0,3949,8102.0
234000,9000,-102.0,26,-1.0,4449,9102.0
260000,10000,-68.0,26,1.0,4966,10068.0
