steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-1.0,1,1.0,4.0
4,4,0.0,1,1.0,4.0
5,5,-1.0,1,-1.0,6.0
6,6,-2.0,1,-1.0,8.0
7,7,-1.0,1,1.0,8.0
8,8,-2.0,1,-1.0,10.0
9,9,-3.0,1,-1.0,12.0
10,10,-4.0,1,-1.0,14.0
12,12,-6.0,1,-1.0,18.0
14,14,-8.0,1,-1.0,22.0
17,17,-9.0,1,1.0,26.0
20,20,-12.0,1,-1.0,32.0
25,25,-15.0,1,1.0,40.0
30,30,-18.0,1,-1.0,48.0
40,40,-26.0,1,-1.0,66.0
50,50,-36.0,1,-1.0,86.0
60,60,-44.0,1,-1.0,104.0
70,70,-54.0,1,-1.0,124.0
80,80,-64.0,1,-1.0,144.0
90,90,-70.0,1,-1.0,160.0
100,100,-78.0,1,1.0,178.0
120,120,-94.0,1,-1.0,214.0
140,140,-110.0,1,-1.0,250.0
170,170,-130.0,1,-1.0,300.0
200,200,-148.0,1,1.0,348.0
250,250,-186.0,1,-1.0,436.0
300,300,-226.0,1,-1.0,526.0
400,400,-310.0,1,-1.0,710.0
500,500,-384.0,1,-1.0,884.0
600,600,-460.0,1,-1.0,1060.0
700,700,-538.0,1,-1.0,1238.0
800,800,-620.0,1,-1.0,1420.0
900,900,-692.0,1,-1.0,1592.0
1000,1000,-768.0,1,-1.0,1768.0
1200,1200,-940.0,1,-1.0,2140.0
1400,1400,-1104.0,1,-1.0,2504.0
1700,1700,-1358.0,1,-1.0,3058.0
2000,2000,-1612.0,1,-1.0,3612.0
2500,2500,-1974.0,1,1.0,4474.0
3000,3000,-2420.0,1,-1.0,5420.0
4000,4000,-3234.0,1,-1.0,7234.0
5000,5000,-4024.0,1,-1.0,9024.0
6000,6000,-4860.0,1,-1.0,10860.0
7000,7000,-5642.0,1,-1.0,12642.0
8000,8000,-6418.0,1,-1.0,14418.0
9000,9000,-7222.0,1,-1.0,16222.0
10000,10000,-8042.0,1,-1.0,18042.0
