steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
375,1,-25.100000000000087,375,-25.100000000000087,-25.100000000000087,0.0,0.0
800,2,-54.2000000000005,425,-29.100000000000144,-54.2000000000005,0.0,0.0
1678,3,-110.79999999999798,878,-56.600000000000534,-110.79999999999798,0.0,0.0
2679,4,-175.19999999999433,1001,-64.40000000000062,-175.19999999999433,0.0,0.0
2968,5,-194.79999999999322,289,-19.60000000000001,-194.79999999999322,0.0,0.0
3536,6,-232.69999999999106,568,-37.90000000000027,-232.69999999999106,0.0,0.0
3736,7,-247.29999999999023,200,-14.599999999999964,-247.29999999999023,0.0,0.0
4119,8,-272.0999999999934,383,-24.800000000000082,-272.0999999999934,0.0,0.0
4475,9,-294.6999999999985,356,-22.60000000000005,-294.6999999999985,0.0,0.0
5295,10,-347.70000000001056,820,-53.00000000000048,-347.70000000001056,0.0,0.0
6447,12,-423.4000000000278,651,-42.40000000000033,-423.4000000000278,0.0,0.0
7821,14,-513.9000000000483,587,-38.90000000000028,-513.9000000000483,0.0,0.0
9769,17,-644.8000000000781,538,-35.40000000000023,-644.8000000000781,0.0,0.0
10984,20,-726.7000000000967,597,-38.80000000000028,-726.7000000000967,0.0,0.0
14227,25,-941.5000000001455,415,-27.800000000000125,-941.5000000001455,0.0,0.0
17069,30,-1131.5000000000664,261,-18.29999999999999,-1131.5000000000664,0.0,0.0
21668,40,-1438.799999999787,784,-51.90000000000047,-1438.799999999787,0.0,0.0
27342,50,-1812.499999999447,1001,-66.30000000000051,-1812.499999999447,0.0,0.0
31994,60,-2126.6999999991613,459,-30.500000000000163,-2126.6999999991613,0.0,0.0
37905,70,-2515.4999999988077,375,-24.60000000000008,-2515.4999999988077,0.0,0.0
43012,80,-2854.4999999984993,425,-30.400000000000162,-2854.4999999984993,0.0,0.0
48978,90,-3252.2999999981375,294,-18.19999999999999,-3252.2999999981375,0.0,0.0
54511,100,-3621.7999999978015,528,-35.90000000000024,-3621.7999999978015,0.0,0.0
66847,120,-4443.499999998634,839,-54.500000000000504,-4443.499999998634,0.0,0.0
78702,140,-5224.900000001477,467,-31.00000000000017,-5224.900000001477,0.0,0.0
92184,170,-6121.000000004737,495,-33.0000000000002,-6121.000000004737,0.0,0.0
107203,200,-7119.300000008368,273,-18.799999999999997,-7119.300000008368,0.0,0.0
138254,250,-9195.20000001592,1001,-68.40000000000039,-9195.20000001592,0.0,0.0
167436,300,-11147.200000023022,1001,-68.00000000000041,-11147.200000023022,0.0,0.0
223088,400,-14831.200000036424,656,-44.700000000000365,-14831.200000036424,0.0,0.0
279603,500,-18601.9000000098,324,-21.10000000000003,-18601.9000000098,0.0,0.0
330781,600,-22015.09999996013,397,-29.100000000000144,-22015.09999996013,0.0,0.0
388675,700,-25900.899999903584,1001,-66.20000000000051,-25900.899999903584,0.0,0.0
438323,800,-29230.799999855128,263,-19.200000000000003,-29230.799999855128,0.0,0.0
495844,900,-33063.39999979936,738,-49.80000000000044,-33063.39999979936,0.0,0.0
545007,1000,-36359.0999997514,360,-24.70000000000008,-36359.0999997514,0.0,0.0
