steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,0.0,3,1.0,1,2.0
9,3,-1.0,3,-1.0,1,4.0
12,4,-2.0,3,-1.0,1,6.0
15,5,-3.0,3,-1.0,1,8.0
18,6,-4.0,3,-1.0,1,10.0
21,7,-5.0,3,-1.0,1,12.0
24,8,-4.0,3,1.0,2,12.0
27,9,-5.0,3,-1.0,2,14.0
30,10,-6.0,3,-1.0,2,16.0
36,12,-4.0,3,1.0,4,16.0
42,14,-4.0,3,-1.0,5,18.0
51,17,-5.0,3,1.0,6,22.0
60,20,-4.0,3,1.0,8,24.0
75,25,-1.0,3,1.0,12,26.0
90,30,-6.0,3,-1.0,12,36.0
120,40,-8.0,3,-1.0,16,48.0
150,50,-6.0,3,1.0,22,56.0
180,60,-4.0,3,-1.0,28,64.0
210,70,-6.0,3,-1.0,32,76.0
240,80,-8.0,3,1.0,36,88.0
270,90,-12.0,3,1.0,39,102.0
300,100,-10.0,3,-1.0,45,110.0
360,120,-14.0,3,-1.0,53,134.0
420,140,-14.0,3,1.0,63,154.0
510,170,-20.0,3,-1.0,75,190.0
600,200,-20.0,3,1.0,90,220.0
750,250,-12.0,3,-1.0,119,262.0
900,300,-20.0,3,1.0,140,320.0
1200,400,-6.0,3,1.0,197,406.0
1500,500,-14.0,3,-1.0,243,514.0
1800,600,-22.0,3,-1.0,289,622.0
2100,700,-30.0,3,1.0,335,730.0
2400,800,-44.0,3,1.0,378,844.0
2700,900,-28.0,3,1.0,436,928.0
3000,1000,-26.0,3,-1.0,487,1026.0
3600,1200,-42.0,3,-1.0,579,1242.0
4200,1400,-34.0,3,1.0,683,1434.0
5100,1700,-38.0,3,1.0,831,1738.0
6000,2000,-48.0,3,-1.0,976,2048.0
7500,2500,-44.0,3,1.0,1228,2544.0
9000,3000,-88.0,3,1.0,1456,3088.0
12000,4000,-86.0,3,1.0,1957,4086.0
15000,5000,-44.0,3,1.0,2478,5044.0
18000,6000,-14.0,3,-1.0,2993,6014.0
21000,7000,0.0,3,1.0,3500,7000.0
24000,8000,50.0,3,1.0,4025,7950.0
27000,9000,34.0,3,1.0,4517,8966.0
30000,10000,66.0,3,1.0,5033,9934.0
