steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-1001.02494176812,1000,-1001.02494176812,-1000.0
2000,2,-1995.5039361680256,1000,-994.4789943999103,-2000.0
3000,3,-2967.149849845294,1000,-971.6459136772655,-3000.0
4000,4,-4003.138371619289,1000,-1035.9885217739961,-4000.0
5000,5,-5038.47713068253,1000,-1035.3387590632253,-5000.0
6000,6,-6071.976592424902,1000,-1033.4994617423806,-6000.0
7000,7,-7090.609192022566,1000,-1018.6325995976541,-7000.0
8000,8,-8099.329296767303,1000,-1008.7201047447384,-8000.0
9000,9,-9101.168890420035,1000,-1001.8395936527255,-9000.0
10000,10,-10147.466186286609,1000,-1046.2972958665762,-10000.0
12000,12,-12156.5231968126,1000,-982.0858291274374,-12000.0
14000,14,-14193.013509249262,1000,-1037.052258674711,-14000.0
17000,17,-17145.97269777194,1000,-991.5653052331979,-17000.0
20000,20,-20134.086718750554,1000,-1030.8540327583726,-20000.0
25000,25,-25231.338404717662,1000,-1023.0815897423258,-25000.0
30000,30,-30199.92073225826,1000,-1018.2868562313221,-30000.0
40000,40,-40074.53038696755,1000,-966.3140616598423,-40000.0
50000,50,-50091.43068735955,1000,-1018.5452735019535,-50000.0
60000,60,-60075.58293705684,1000,-1005.7589734766145,-60000.0
70000,70,-70216.80575707399,1000,-1029.9511835504227,-70000.0
80000,80,-80214.05173470997,1000,-985.3926211671017,-80000.0
90000,90,-90026.04493798522,1000,-985.222839435802,-90000.0
100000,100,-99996.17936546798,1000,-971.880855398408,-100000.0
120000,120,-120139.61463899392,1000,-970.732665730026,-120000.0
140000,140,-140059.84031030728,1000,-973.9940458789166,-140000.0
170000,170,-170262.79292566777,1000,-957.3944193757292,-170000.0
200000,200,-200094.69976293296,1000,-1003.0838137319377,-200000.0
250000,250,-250054.75888163334,1000,-975.8903741264651,-250000.0
300000,300,-299791.88428635994,1000,-962.0635321642047,-300000.0
400000,400,-399712.9961024984,1000,-1035.1873662799426,-400000.0
500000,500,-500043.1300703779,1000,-982.9600457515435,-500000.0
600000,600,-599947.80370109,1000,-965.1119873531715,-600000.0
700000,700,-700467.3667725911,1000,-1007.5842143769773,-700000.0
799914,800,-800416.3862213609,1000,-977.1299385897014,-799914.0
899914,900,-900873.5919537332,1000,-1006.3208506266609,-899914.0
999914,1000,-1000513.0926554697,1000,-952.366448444182,-999914.0
