steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
2,1,-1.0,2,-1.0,0,2.0
4,2,0.0,2,1.0,1,2.0
6,3,-1.0,2,-1.0,1,4.0
8,4,0.0,2,1.0,2,4.0
10,5,1.0,2,1.0,3,4.0
12,6,0.0,2,-1.0,3,6.0
14,7,-1.0,2,-1.0,3,8.0
16,8,-2.0,2,-1.0,3,10.0
18,9,-1.0,2,1.0,4,10.0
20,10,-2.0,2,-1.0,4,12.0
24,12,0.0,2,1.0,6,12.0
28,14,2.0,2,1.0,8,12.0
34,17,1.0,2,1.0,9,16.0
40,20,2.0,2,1.0,11,18.0
50,25,5.0,2,1.0,15,20.0
60,30,6.0,2,-1.0,18,24.0
80,40,4.0,2,1.0,22,36.0
100,50,4.0,2,-1.0,27,46.0
120,60,12.0,2,1.0,36,48.0
140,70,4.0,2,-1.0,37,66.0
160,80,10.0,2,1.0,45,70.0
180,90,6.0,2,-1.0,48,84.0
200,100,8.0,2,-1.0,54,92.0
240,120,14.0,2,1.0,67,106.0
280,140,22.0,2,1.0,81,118.0
340,170,24.0,2,-1.0,97,146.0
400,200,28.0,2,1.0,114,172.0
500,250,34.0,2,-1.0,142,216.0
600,300,28.0,2,-1.0,164,272.0
800,400,46.0,2,-1.0,223,354.0
1000,500,30.0,2,1.0,265,470.0
1200,600,10.0,2,1.0,305,590.0
1400,700,12.0,2,1.0,356,688.0
1600,800,10.0,2,1.0,405,790.0
1800,900,0.0,2,1.0,450,900.0
2000,1000,12.0,2,1.0,506,988.0
2400,1200,32.0,2,-1.0,616,1168.0
2800,1400,24.0,2,1.0,712,1376.0
3400,1700,26.0,2,-1.0,863,1674.0
4000,2000,6.0,2,1.0,1003,1994.0
5000,2500,-22.0,2,1.0,1239,2522.0
6000,3000,-46.0,2,1.0,1477,3046.0
8000,4000,-110.0,2,1.0,1945,4110.0
10000,5000,-118.0,2,1.0,2441,5118.0
12000,6000,-124.0,2,1.0,2938,6124.0
14000,7000,-164.0,2,-1.0,3418,7164.0
16000,8000,-166.0,2,1.0,3917,8166.0
18000,9000,-128.0,2,1.0,4436,9128.0
20000,10000,-134.0,2,1.0,4933,10134.0
