steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,0.0,3,1.0,1,2.0
9,3,1.0,3,1.0,2,2.0
12,4,2.0,3,1.0,3,2.0
15,5,3.0,3,1.0,4,2.0
18,6,4.0,3,1.0,5,2.0
21,7,5.0,3,1.0,6,2.0
24,8,4.0,3,-1.0,6,4.0
27,9,3.0,3,-1.0,6,6.0
30,10,4.0,3,1.0,7,6.0
36,12,6.0,3,1.0,9,6.0
42,14,6.0,3,-1.0,10,8.0
51,17,5.0,3,-1.0,11,12.0
60,20,8.0,3,1.0,14,12.0
75,25,9.0,3,1.0,17,16.0
90,30,12.0,3,1.0,21,18.0
120,40,14.0,3,1.0,27,26.0
150,50,22.0,3,1.0,36,28.0
180,60,24.0,3,-1.0,42,36.0
210,70,24.0,3,1.0,47,46.0
240,80,20.0,3,-1.0,50,60.0
270,90,16.0,3,-1.0,53,74.0
300,100,22.0,3,-1.0,61,78.0
360,120,24.0,3,-1.0,72,96.0
420,140,28.0,3,-1.0,84,112.0
510,170,28.0,3,1.0,99,142.0
600,200,30.0,3,1.0,115,170.0
750,250,38.0,3,1.0,144,212.0
900,300,36.0,3,1.0,168,264.0
1200,400,30.0,3,-1.0,215,370.0
1500,500,38.0,3,1.0,269,462.0
1800,600,48.0,3,1.0,324,552.0
2100,700,46.0,3,-1.0,373,654.0
2400,800,38.0,3,1.0,419,762.0
2700,900,38.0,3,-1.0,469,862.0
3000,1000,36.0,3,1.0,518,964.0
3600,1200,28.0,3,1.0,614,1172.0
4200,1400,38.0,3,-1.0,719,1362.0
5100,1700,32.0,3,1.0,866,1668.0
6000,2000,10.0,3,1.0,1005,1990.0
7500,2500,-36.0,3,-1.0,1232,2536.0
9000,3000,-24.0,3,-1.0,1488,3024.0
12000,4000,-34.0,3,1.0,1983,4034.0
15000,5000,-58.0,3,-1.0,2471,5058.0
18000,6000,-96.0,3,1.0,2952,6096.0
21000,7000,-116.0,3,-1.0,3442,7116.0
24000,8000,-106.0,3,1.0,3947,8106.0
27000,9000,-158.0,3,-1.0,4421,9158.0
30000,10000,-140.0,3,-1.0,4930,10140.0
