steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-4.0,1,1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-6.0,1,-1.0,14.0
9,9,-5.0,1,1.0,14.0
10,10,-6.0,1,-1.0,16.0
12,12,-8.0,1,-1.0,20.0
14,14,-10.0,1,-1.0,24.0
17,17,-13.0,1,-1.0,30.0
20,20,-16.0,1,-1.0,36.0
25,25,-17.0,1,1.0,42.0
30,30,-22.0,1,-1.0,52.0
40,40,-28.0,1,-1.0,68.0
50,50,-38.0,1,-1.0,88.0
60,60,-48.0,1,-1.0,108.0
70,70,-58.0,1,-1.0,128.0
80,80,-68.0,1,-1.0,148.0
90,90,-76.0,1,-1.0,166.0
100,100,-80.0,1,-1.0,180.0
120,120,-92.0,1,-1.0,212.0
140,140,-110.0,1,-1.0,250.0
170,170,-130.0,1,-1.0,300.0
200,200,-152.0,1,-1.0,352.0
250,250,-190.0,1,1.0,440.0
300,300,-232.0,1,-1.0,532.0
400,400,-314.0,1,1.0,714.0
500,500,-400.0,1,-1.0,900.0
600,600,-476.0,1,-1.0,1076.0
700,700,-556.0,1,-1.0,1256.0
800,800,-652.0,1,-1.0,1452.0
900,900,-740.0,1,-1.0,1640.0
1000,1000,-814.0,1,-1.0,1814.0
1200,1200,-984.0,1,-1.0,2184.0
1400,1400,-1150.0,1,-1.0,2550.0
1700,1700,-1380.0,1,1.0,3080.0
2000,2000,-1622.0,1,-1.0,3622.0
2500,2500,-2018.0,1,-1.0,4518.0
3000,3000,-2406.0,1,-1.0,5406.0
4000,4000,-3212.0,1,-1.0,7212.0
5000,5000,-3996.0,1,-1.0,8996.0
6000,6000,-4788.0,1,-1.0,10788.0
7000,7000,-5572.0,1,-1.0,12572.0
8000,8000,-6374.0,1,-1.0,14374.0
9000,9000,-7180.0,1,-1.0,16180.0
10000,10000,-7990.0,1,-1.0,17990.0
