steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
349,1,-23.600000000000065,349,-23.600000000000065,-23.600000000000065,0.0,0.0
740,2,-50.20000000000044,391,-26.600000000000108,-50.20000000000044,0.0,0.0
1504,3,-99.7999999999986,764,-49.600000000000435,-99.7999999999986,0.0,0.0
2212,4,-145.59999999999602,708,-45.80000000000038,-145.59999999999602,0.0,0.0
2704,5,-176.79999999999424,492,-31.200000000000173,-176.79999999999424,0.0,0.0
3004,6,-196.59999999999312,300,-19.80000000000001,-196.59999999999312,0.0,0.0
3561,7,-234.49999999999096,557,-37.90000000000027,-234.49999999999096,0.0,0.0
3830,8,-252.79999999998992,269,-18.29999999999999,-252.79999999998992,0.0,0.0
4385,9,-288.8999999999972,555,-36.10000000000024,-288.8999999999972,0.0,0.0
4842,10,-318.20000000000385,457,-29.300000000000146,-318.20000000000385,0.0,0.0
6167,12,-403.90000000002334,759,-48.900000000000425,-403.90000000002334,0.0,0.0
7401,14,-486.8000000000422,1001,-66.10000000000052,-486.8000000000422,0.0,0.0
9559,17,-630.5000000000748,531,-33.400000000000205,-630.5000000000748,0.0,0.0
10412,20,-689.6000000000882,210,-14.499999999999964,-689.6000000000882,0.0,0.0
13261,25,-878.0000000001311,1001,-66.60000000000049,-878.0000000001311,0.0,0.0
16324,30,-1080.5000000001128,1001,-66.30000000000051,-1080.5000000001128,0.0,0.0
20577,40,-1365.5999999998535,305,-20.200000000000017,-1365.5999999998535,0.0,0.0
25273,50,-1675.2999999995718,522,-35.20000000000023,-1675.2999999995718,0.0,0.0
30792,60,-2046.1999999992345,406,-26.400000000000105,-2046.1999999992345,0.0,0.0
36256,70,-2408.9999999989045,1001,-67.00000000000047,-2408.9999999989045,0.0,0.0
42072,80,-2789.1999999985587,632,-41.200000000000315,-2789.1999999985587,0.0,0.0
47119,90,-3127.299999998251,559,-35.70000000000024,-3127.299999998251,0.0,0.0
52784,100,-3504.3999999979083,510,-33.2000000000002,-3504.3999999979083,0.0,0.0
63713,120,-4233.799999997871,1001,-63.30000000000063,-4233.799999997871,0.0,0.0
72884,140,-4845.000000000095,267,-18.39999999999999,-4845.000000000095,0.0,0.0
86778,170,-5760.300000003424,182,-12.69999999999997,-5760.300000003424,0.0,0.0
102682,200,-6818.400000007274,522,-32.40000000000019,-6818.400000007274,0.0,0.0
131184,250,-8721.300000014196,227,-16.09999999999996,-8721.300000014196,0.0,0.0
158834,300,-10563.000000020897,264,-16.399999999999963,-10563.000000020897,0.0,0.0
211462,400,-14058.400000033613,570,-36.300000000000246,-14058.400000033613,0.0,0.0
264664,500,-17605.000000024305,543,-36.40000000000025,-17605.000000024305,0.0,0.0
316961,600,-21089.599999973598,397,-27.900000000000126,-21089.599999973598,0.0,0.0
371089,700,-24720.299999920764,351,-22.40000000000005,-24720.299999920764,0.0,0.0
421444,800,-28089.09999987174,468,-31.400000000000176,-28089.09999987174,0.0,0.0
478396,900,-31894.19999981637,1001,-65.40000000000056,-31894.19999981637,0.0,0.0
531254,1000,-35441.499999764754,262,-16.399999999999963,-35441.499999764754,0.0,0.0
