steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-2.0,1,1.0,6.0
5,5,-3.0,1,-1.0,8.0
6,6,-2.0,1,1.0,8.0
7,7,-3.0,1,-1.0,10.0
8,8,-4.0,1,-1.0,12.0
9,9,-5.0,1,-1.0,14.0
10,10,-6.0,1,-1.0,16.0
12,12,-6.0,1,1.0,18.0
14,14,-8.0,1,-1.0,22.0
17,17,-11.0,1,-1.0,28.0
20,20,-14.0,1,-1.0,34.0
25,25,-17.0,1,-1.0,42.0
30,30,-22.0,1,-1.0,52.0
40,40,-32.0,1,-1.0,72.0
50,50,-38.0,1,1.0,88.0
60,60,-44.0,1,-1.0,104.0
70,70,-54.0,1,-1.0,124.0
80,80,-64.0,1,-1.0,144.0
90,90,-70.0,1,1.0,160.0
100,100,-76.0,1,-1.0,176.0
120,120,-94.0,1,-1.0,214.0
140,140,-110.0,1,-1.0,250.0
170,170,-138.0,1,-1.0,308.0
200,200,-160.0,1,-1.0,360.0
250,250,-196.0,1,-1.0,446.0
300,300,-226.0,1,-1.0,526.0
400,400,-304.0,1,-1.0,704.0
500,500,-386.0,1,-1.0,886.0
600,600,-458.0,1,-1.0,1058.0
700,700,-532.0,1,-1.0,1232.0
800,800,-612.0,1,-1.0,1412.0
900,900,-688.0,1,-1.0,1588.0
1000,1000,-766.0,1,-1.0,1766.0
1200,1200,-936.0,1,-1.0,2136.0
1400,1400,-1100.0,1,-1.0,2500.0
1700,1700,-1346.0,1,-1.0,3046.0
2000,2000,-1604.0,1,-1.0,3604.0
2500,2500,-2018.0,1,-1.0,4518.0
3000,3000,-2420.0,1,-1.0,5420.0
4000,4000,-3248.0,1,-1.0,7248.0
5000,5000,-4012.0,1,-1.0,9012.0
6000,6000,-4804.0,1,-1.0,10804.0
7000,7000,-5598.0,1,-1.0,12598.0
8000,8000,-6384.0,1,-1.0,14384.0
9000,9000,-7162.0,1,-1.0,16162.0
10000,10000,-7958.0,1,1.0,17958.0
