steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
31,1,-1.0,31,-1.0,0,2.0
62,2,0.0,31,1.0,1,2.0
93,3,1.0,31,1.0,2,2.0
124,4,2.0,31,1.0,3,2.0
155,5,1.0,31,-1.0,3,4.0
186,6,2.0,31,1.0,4,4.0
217,7,3.0,31,1.0,5,4.0
248,8,4.0,31,1.0,6,4.0
279,9,5.0,31,1.0,7,4.0
310,10,4.0,31,-1.0,7,6.0
372,12,6.0,31,1.0,9,6.0
434,14,4.0,31,-1.0,9,10.0
527,17,3.0,31,1.0,10,14.0
620,20,2.0,31,-1.0,11,18.0
775,25,5.0,31,1.0,15,20.0
930,30,6.0,31,-1.0,18,24.0
1240,40,8.0,31,-1.0,24,32.0
1550,50,8.0,31,-1.0,29,42.0
1860,60,10.0,31,-1.0,35,50.0
2170,70,16.0,31,1.0,43,54.0
2480,80,24.0,31,1.0,52,56.0
2790,90,24.0,31,-1.0,57,66.0
3100,100,18.0,31,-1.0,59,82.0
3720,120,22.0,31,1.0,71,98.0
4340,140,26.0,31,1.0,83,114.0
5270,170,24.0,31,-1.0,97,146.0
6200,200,24.0,31,-1.0,112,176.0
7750,250,34.0,31,1.0,142,216.0
9300,300,32.0,31,-1.0,166,268.0
12400,400,40.0,31,-1.0,220,360.0
15500,500,44.0,31,1.0,272,456.0
18600,600,34.0,31,-1.0,317,566.0
21700,700,18.0,31,-1.0,359,682.0
24800,800,22.0,31,1.0,411,778.0
27900,900,34.0,31,-1.0,467,866.0
31000,1000,52.0,31,-1.0,526,948.0
37200,1200,66.0,31,-1.0,633,1134.0
43400,1400,60.0,31,-1.0,730,1340.0
52700,1700,48.0,31,1.0,874,1652.0
62000,2000,68.0,31,1.0,1034,1932.0
77500,2500,44.0,31,-1.0,1272,2456.0
93000,3000,36.0,31,-1.0,1518,2964.0
124000,4000,26.0,31,1.0,2013,3974.0
155000,5000,18.0,31,-1.0,2509,4982.0
186000,6000,6.0,31,1.0,3003,5994.0
217000,7000,24.0,31,-1.0,3512,6976.0
248000,8000,58.0,31,-1.0,4029,7942.0
279000,9000,-14.0,31,1.0,4493,9014.0
310000,10000,-18.0,31,-1.0,4991,10018.0
