steps,episode,total_return,episode_len,episode_return,total_regret
60,1,8.0,60,8.0,2.0
120,2,6.0,60,-2.0,4.0
180,3,8.0,60,2.0,4.0
240,4,16.0,60,8.0,4.0
300,5,24.0,60,8.0,6.0
360,6,20.0,60,-4.0,6.0
420,7,8.0,60,-12.0,8.0
480,8,14.0,60,6.0,8.0
540,9,24.0,60,10.0,8.0
600,10,32.0,60,8.0,10.0
720,12,40.0,60,14.0,12.0
840,14,48.0,60,14.0,14.0
1020,17,48.0,60,-8.0,14.0
1200,20,36.0,60,-2.0,16.0
1500,25,74.0,60,6.0,20.0
1800,30,52.0,60,2.0,28.0
2400,40,46.0,60,-4.0,38.0
3000,50,70.0,60,6.0,46.0
3600,60,94.0,60,-8.0,58.0
4200,70,80.0,60,0.0,68.0
4800,80,44.0,60,-4.0,80.0
5400,90,48.0,60,-6.0,90.0
6000,100,38.0,60,-6.0,102.0
7200,120,62.0,60,-6.0,118.0
8400,140,10.0,60,-14.0,130.0
10200,170,-12.0,60,2.0,162.0
12000,200,32.0,60,12.0,190.0
15000,250,176.0,60,4.0,242.0
18000,300,154.0,60,0.0,292.0
24000,400,132.0,60,0.0,394.0
30000,500,92.0,60,0.0,488.0
36000,600,120.0,60,-12.0,590.0
42000,700,64.0,60,-6.0,694.0
48000,800,22.0,60,-2.0,788.0
54000,900,150.0,60,2.0,884.0
60000,1000,232.0,60,-4.0,978.0
72000,1200,344.0,60,8.0,1192.0
84000,1400,322.0,60,-6.0,1386.0
102000,1700,336.0,60,-10.0,1704.0
120000,2000,280.0,60,6.0,1990.0
150000,2500,276.0,60,6.0,2474.0
180000,3000,72.0,60,-6.0,2904.0
240000,4000,-152.0,60,-8.0,3908.0
300000,5000,-504.0,60,6.0,4914.0
360000,6000,-558.0,60,0.0,5926.0
420000,7000,-714.0,60,4.0,6994.0
480000,8000,-1192.0,60,20.0,8014.0
540000,9000,-1064.0,60,4.0,9022.0
600000,10000,-894.0,60,0.0,10008.0
