steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
62,1,61.0,62,61.0,61.0,61.0
152,2,150.0,90,89.0,150.0,89.0
324,3,321.0,172,171.0,321.0,171.0
400,4,396.0,76,75.0,396.0,171.0
502,5,497.0,102,101.0,497.0,171.0
574,6,568.0,72,71.0,568.0,171.0
664,7,657.0,90,89.0,657.0,171.0
743,8,735.0,79,78.0,735.0,171.0
847,9,838.0,104,103.0,838.0,171.0
911,10,901.0,64,63.0,901.0,171.0
1093,12,1081.0,130,129.0,1081.0,171.0
1263,14,1249.0,110,109.0,1249.0,171.0
1501,17,1484.0,74,73.0,1484.0,171.0
1742,20,1722.0,75,74.0,1722.0,171.0
2088,25,2063.0,63,62.0,2063.0,171.0
2510,30,2480.0,63,62.0,2480.0,171.0
3308,40,3268.0,44,43.0,3268.0,172.0
4064,50,4014.0,99,98.0,4014.0,172.0
4940,60,4880.0,124,123.0,4880.0,172.0
5764,70,5694.0,89,88.0,5694.0,172.0
6423,80,6343.0,49,48.0,6343.0,172.0
7282,90,7192.0,103,102.0,7192.0,172.0
8056,100,7956.0,50,49.0,7956.0,172.0
9667,120,9547.0,76,75.0,9547.0,172.0
11444,140,11304.0,73,72.0,11304.0,234.0
14150,170,13980.0,87,86.0,13980.0,234.0
16595,200,16395.0,42,41.0,16395.0,234.0
20696,250,20446.0,67,66.0,20446.0,234.0
24877,300,24577.0,77,76.0,24577.0,234.0
33007,400,32607.0,93,92.0,32607.0,234.0
41039,500,40539.0,69,68.0,40539.0,234.0
49042,600,48442.0,61,60.0,48442.0,234.0
57096,700,56396.0,42,41.0,56396.0,234.0
64787,800,63987.0,53,52.0,63987.0,234.0
72458,900,71558.0,68,67.0,71558.0,234.0
80016,1000,79016.0,81,80.0,79016.0,234.0
