steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
66,1,65.0,66,65.0,65.0,65.0
175,2,173.0,109,108.0,173.0,108.0
231,3,228.0,56,55.0,228.0,108.0
312,4,308.0,81,80.0,308.0,108.0
367,5,362.0,55,54.0,362.0,108.0
484,6,478.0,117,116.0,478.0,116.0
537,7,530.0,53,52.0,530.0,116.0
667,8,659.0,130,129.0,659.0,129.0
738,9,729.0,71,70.0,729.0,129.0
800,10,790.0,62,61.0,790.0,129.0
916,12,904.0,55,54.0,904.0,129.0
1080,14,1066.0,97,96.0,1066.0,129.0
1320,17,1303.0,77,76.0,1303.0,129.0
1670,20,1650.0,80,79.0,1650.0,199.0
2020,25,1995.0,87,86.0,1995.0,199.0
2444,30,2414.0,57,56.0,2414.0,199.0
3293,40,3253.0,57,56.0,3253.0,199.0
3910,50,3860.0,65,64.0,3860.0,199.0
4719,60,4659.0,78,77.0,4659.0,199.0
5416,70,5346.0,69,68.0,5346.0,199.0
6222,80,6142.0,42,41.0,6142.0,199.0
6943,90,6853.0,76,75.0,6853.0,199.0
7800,100,7700.0,88,87.0,7700.0,199.0
9522,120,9402.0,74,73.0,9402.0,199.0
11006,140,10866.0,64,63.0,10866.0,199.0
13736,170,13566.0,119,118.0,13566.0,211.0
16210,200,16010.0,75,74.0,16010.0,211.0
20388,250,20138.0,69,68.0,20138.0,211.0
24095,300,23795.0,110,109.0,23795.0,211.0
32270,400,31870.0,57,56.0,31870.0,211.0
40362,500,39862.0,88,87.0,39862.0,211.0
48541,600,47941.0,77,76.0,47941.0,211.0
56775,700,56075.0,130,129.0,56075.0,228.0
64689,800,63889.0,52,51.0,63889.0,228.0
72304,900,71404.0,54,53.0,71404.0,228.0
80470,1000,79470.0,57,56.0,79470.0,228.0
