steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,0.0,3,-1.0,1,2.0
9,3,-1.0,3,-1.0,1,4.0
12,4,-2.0,3,-1.0,1,6.0
15,5,-3.0,3,-1.0,1,8.0
18,6,-2.0,3,1.0,2,8.0
21,7,-1.0,3,1.0,3,8.0
24,8,0.0,3,1.0,4,8.0
27,9,-1.0,3,-1.0,4,10.0
30,10,0.0,3,1.0,5,10.0
36,12,2.0,3,1.0,7,10.0
42,14,0.0,3,-1.0,7,14.0
51,17,1.0,3,-1.0,9,16.0
60,20,2.0,3,1.0,11,18.0
75,25,1.0,3,1.0,13,24.0
90,30,0.0,3,-1.0,15,30.0
120,40,0.0,3,1.0,20,40.0
150,50,-2.0,3,-1.0,24,52.0
180,60,-2.0,3,-1.0,29,62.0
210,70,0.0,3,1.0,35,70.0
240,80,0.0,3,-1.0,40,80.0
270,90,0.0,3,-1.0,45,90.0
300,100,0.0,3,1.0,50,100.0
360,120,-10.0,3,-1.0,55,130.0
420,140,-4.0,3,1.0,68,144.0
510,170,-4.0,3,1.0,83,174.0
600,200,2.0,3,1.0,101,198.0
750,250,-6.0,3,-1.0,122,256.0
900,300,-24.0,3,1.0,138,324.0
1200,400,-16.0,3,1.0,192,416.0
1500,500,-10.0,3,-1.0,245,510.0
1800,600,-2.0,3,-1.0,299,602.0
2100,700,-4.0,3,-1.0,348,704.0
2400,800,-6.0,3,-1.0,397,806.0
2700,900,-6.0,3,-1.0,447,906.0
3000,1000,-6.0,3,-1.0,497,1006.0
3600,1200,-28.0,3,-1.0,586,1228.0
4200,1400,-50.0,3,-1.0,675,1450.0
5100,1700,-56.0,3,-1.0,822,1756.0
6000,2000,-48.0,3,-1.0,976,2048.0
7500,2500,-18.0,3,-1.0,1241,2518.0
9000,3000,-46.0,3,1.0,1477,3046.0
12000,4000,-36.0,3,1.0,1982,4036.0
15000,5000,-18.0,3,1.0,2491,5018.0
18000,6000,0.0,3,-1.0,3000,6000.0
21000,7000,-4.0,3,-1.0,3498,7004.0
24000,8000,46.0,3,1.0,4023,7954.0
27000,9000,14.0,3,-1.0,4507,8986.0
30000,10000,32.0,3,-1.0,5016,9968.0
