steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,2.0,3,1.0,2,0.0
9,3,3.0,3,1.0,3,0.0
12,4,2.0,3,-1.0,3,2.0
15,5,3.0,3,1.0,4,2.0
18,6,4.0,3,1.0,5,2.0
21,7,5.0,3,1.0,6,2.0
24,8,6.0,3,1.0,7,2.0
27,9,7.0,3,1.0,8,2.0
30,10,6.0,3,-1.0,8,4.0
36,12,6.0,3,1.0,9,6.0
42,14,4.0,3,-1.0,9,10.0
51,17,7.0,3,1.0,12,10.0
60,20,10.0,3,1.0,15,10.0
75,25,11.0,3,1.0,18,14.0
90,30,10.0,3,1.0,20,20.0
120,40,8.0,3,1.0,24,32.0
150,50,8.0,3,1.0,29,42.0
180,60,12.0,3,1.0,36,48.0
210,70,14.0,3,1.0,42,56.0
240,80,16.0,3,-1.0,48,64.0
270,90,16.0,3,-1.0,53,74.0
300,100,20.0,3,-1.0,60,80.0
360,120,24.0,3,-1.0,72,96.0
420,140,20.0,3,-1.0,80,120.0
510,170,12.0,3,-1.0,91,158.0
600,200,8.0,3,1.0,104,192.0
750,250,6.0,3,1.0,128,244.0
900,300,18.0,3,1.0,159,282.0
1200,400,18.0,3,1.0,209,382.0
1500,500,22.0,3,1.0,261,478.0
1800,600,40.0,3,1.0,320,560.0
2100,700,38.0,3,1.0,369,662.0
2400,800,30.0,3,1.0,415,770.0
2700,900,12.0,3,1.0,456,888.0
3000,1000,0.0,3,-1.0,500,1000.0
3600,1200,-26.0,3,-1.0,587,1226.0
4200,1400,-16.0,3,-1.0,692,1416.0
5100,1700,-26.0,3,-1.0,837,1726.0
6000,2000,-34.0,3,1.0,983,2034.0
7500,2500,-58.0,3,1.0,1221,2558.0
9000,3000,-70.0,3,-1.0,1465,3070.0
12000,4000,-50.0,3,-1.0,1975,4050.0
15000,5000,-28.0,3,1.0,2486,5028.0
18000,6000,22.0,3,1.0,3011,5978.0
21000,7000,42.0,3,-1.0,3521,6958.0
24000,8000,4.0,3,-1.0,4002,7996.0
27000,9000,-30.0,3,-1.0,4485,9030.0
30000,10000,22.0,3,1.0,5011,9978.0
