steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
368,1,-24.60000000000008,368,-24.60000000000008,-24.60000000000008,0.0,0.0
823,2,-55.70000000000052,455,-31.100000000000172,-55.70000000000052,0.0,0.0
1318,3,-87.4999999999993,495,-31.800000000000182,-87.4999999999993,0.0,0.0
2319,4,-152.8999999999956,1001,-65.40000000000056,-152.8999999999956,0.0,0.0
3010,5,-196.9999999999931,691,-44.10000000000036,-196.9999999999931,0.0,0.0
3585,6,-236.29999999999086,575,-39.30000000000029,-236.29999999999086,0.0,0.0
3814,7,-251.59999999999,229,-15.299999999999962,-251.59999999999,0.0,0.0
4114,8,-271.7999999999933,300,-20.200000000000017,-271.7999999999933,0.0,0.0
4615,9,-303.9000000000006,501,-32.100000000000186,-303.9000000000006,0.0,0.0
5616,10,-368.6000000000153,1001,-64.7000000000006,-368.6000000000153,0.0,0.0
7618,12,-500.70000000004535,1001,-66.00000000000053,-500.70000000004535,0.0,0.0
9170,14,-605.200000000069,1001,-66.90000000000047,-605.200000000069,0.0,0.0
10421,17,-690.3000000000884,346,-24.60000000000008,-690.3000000000884,0.0,0.0
12574,20,-832.3000000001207,659,-43.70000000000035,-832.3000000001207,0.0,0.0
15458,25,-1023.4000000001641,943,-63.50000000000063,-1023.4000000001641,0.0,0.0
17909,30,-1188.8000000000143,298,-22.000000000000043,-1188.8000000000143,0.0,0.0
22682,40,-1505.5999999997262,797,-51.90000000000047,-1505.5999999997262,0.0,0.0
28126,50,-1866.299999999398,440,-29.50000000000015,-1866.299999999398,0.0,0.0
34001,60,-2262.5999999990377,969,-68.00000000000041,-2262.5999999990377,0.0,0.0
38968,70,-2584.7999999987446,472,-30.400000000000162,-2584.7999999987446,0.0,0.0
43988,80,-2919.59999999844,1001,-66.90000000000047,-2919.59999999844,0.0,0.0
50336,90,-3323.999999998056,1001,-66.10000000000052,-3323.999999998056,18.0,0.0
56041,100,-3705.499999997709,641,-43.00000000000034,-3705.499999997709,18.0,0.0
67785,120,-4457.399999998781,197,-14.099999999999966,-4457.399999998781,49.0,0.0
79542,140,-5231.700000001598,237,-15.89999999999996,-5231.700000001598,49.0,0.0
96068,170,-6303.100000005608,712,-46.30000000000039,-6303.100000005608,80.0,0.0
112320,200,-7381.10000000953,349,-22.900000000000055,-7381.10000000953,80.0,0.0
140412,250,-9229.60000001636,390,-25.30000000000009,-9229.60000001636,109.0,0.0
166798,300,-10996.300000022788,573,-39.000000000000284,-10996.300000022788,109.0,0.0
222419,400,-14676.600000036176,228,-14.899999999999963,-14676.600000036176,109.0,0.0
279292,500,-18472.600000011993,179,-12.299999999999972,-18472.600000011993,109.0,0.0
330054,600,-21841.599999962764,462,-28.80000000000014,-21841.599999962764,123.0,0.0
384840,700,-25446.799999909195,673,-46.40000000000039,-25446.799999909195,199.0,0.0
438138,800,-28985.699999857217,513,-35.10000000000023,-28985.699999857217,232.0,0.0
488881,900,-32365.599999807975,359,-23.500000000000064,-32365.599999807975,236.0,0.0
539393,1000,-35675.49999975875,539,-36.300000000000246,-35675.49999975875,309.0,0.0
