steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.006,10,-0.006,1,0.0
20,2,-0.011000000000000003,10,-0.005,2,0.0
30,3,-0.017000000000000008,10,-0.006,3,0.0
40,4,-0.02000000000000001,10,-0.003,4,0.0
50,5,-0.025000000000000015,10,-0.005,5,0.0
60,6,-0.03100000000000002,10,-0.006,6,0.0
70,7,-0.035000000000000024,10,-0.004,7,0.0
80,8,-0.03800000000000003,10,-0.003,8,0.0
90,9,-0.04000000000000003,10,-0.002,9,0.0
100,10,-0.04500000000000003,10,-0.005,10,0.0
120,12,-0.05300000000000004,10,-0.004,12,0.0
140,14,-0.06500000000000004,10,-0.004,14,0.0
170,17,-0.08300000000000006,10,-0.006,17,0.0
200,20,-0.10400000000000008,10,-0.009000000000000001,20,0.0
250,25,-0.12600000000000008,10,-0.003,25,0.0
300,30,-0.1460000000000001,10,-0.005,30,0.0
400,40,-0.19500000000000015,10,-0.005,40,0.0
500,50,-0.2460000000000002,10,-0.005,50,0.0
600,60,-0.2910000000000002,10,-0.003,60,0.0
700,70,-0.34100000000000025,10,-0.006,70,0.0
800,80,-0.3900000000000003,10,-0.006,80,0.0
900,90,-0.44200000000000034,10,-0.004,90,0.0
1000,100,-0.4920000000000004,10,-0.005,100,0.0
1200,120,-0.5940000000000004,10,-0.005,120,0.0
1400,140,-0.6940000000000005,10,-0.004,140,0.0
1700,170,-0.8450000000000006,10,-0.003,170,0.0
2000,200,-0.9990000000000008,10,-0.003,200,0.0
2500,250,-1.2549999999999726,10,-0.007,250,0.0
3000,300,-1.4939999999999463,10,-0.005,300,0.0
4000,400,-0.9789999999999003,10,-0.004,399,1.0
5000,500,-1.4849999999998469,10,-0.006,499,1.0
6000,600,-1.9999999999997902,10,-0.005,599,1.0
7000,700,-2.519999999999733,10,-0.004,699,1.0
8000,800,-3.018999999999678,10,-0.005,799,1.0
9000,900,-2.510999999999624,10,-0.004,898,2.0
10000,1000,-3.0259999999995673,10,-0.007,998,2.0
12000,1200,-4.02899999999947,10,-0.004,1198,2.0
14000,1400,-5.009999999999797,10,-0.007,1398,2.0
17000,1700,-6.5050000000002965,10,-0.005,1698,2.0
20000,2000,-7.9750000000007875,10,-0.006,1998,2.0
25000,2500,-10.49999999999941,10,-0.002,2498,2.0
30000,3000,-13.002999999998023,10,-0.005,2998,2.0
40000,4000,-16.937999999996954,10,-0.005,3997,3.0
50000,5000,-19.905000000003024,10,-0.005,4995,5.0
60000,6000,-21.922000000009156,10,-0.006,5992,8.0
70000,7000,-26.87600000001521,10,-0.003,6992,8.0
80000,8000,-29.80200000002123,10,-0.005,7990,10.0
90000,9000,-33.81800000001735,10,-0.007,8989,11.0
100000,10000,-38.75700000000584,10,-0.005,9989,11.0
