steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
361,1,-24.300000000000075,361,-24.300000000000075,-24.300000000000075,0.0,0.0
857,2,-58.100000000000556,496,-33.80000000000021,-58.100000000000556,0.0,0.0
1789,3,-117.69999999999759,932,-59.60000000000058,-117.69999999999759,0.0,0.0
2764,4,-180.69999999999402,975,-63.000000000000625,-180.69999999999402,0.0,0.0
3428,5,-225.79999999999146,664,-45.10000000000037,-225.79999999999146,0.0,0.0
3632,6,-239.99999999999065,204,-14.199999999999966,-239.99999999999065,0.0,0.0
3871,7,-255.19999999998979,239,-15.199999999999962,-255.19999999998979,0.0,0.0
4872,8,-320.5000000000044,1001,-65.30000000000057,-320.5000000000044,0.0,0.0
5497,9,-361.1000000000136,625,-40.60000000000031,-361.1000000000136,0.0,0.0
6166,10,-403.8000000000233,669,-42.70000000000034,-403.8000000000233,0.0,0.0
7411,12,-487.2000000000423,1001,-65.90000000000053,-487.2000000000423,0.0,0.0
8909,14,-589.3000000000654,805,-56.50000000000053,-589.3000000000654,0.0,0.0
10204,17,-675.300000000085,299,-21.10000000000003,-675.300000000085,0.0,0.0
11917,20,-788.7000000001108,1001,-66.00000000000053,-788.7000000001108,0.0,0.0
14487,25,-958.2000000001493,256,-16.29999999999996,-958.2000000001493,0.0,0.0
17560,30,-1163.3000000000375,541,-34.800000000000225,-1163.3000000000375,0.0,0.0
22227,40,-1475.999999999753,566,-37.50000000000026,-1475.999999999753,0.0,0.0
27736,50,-1840.2999999994217,631,-44.000000000000355,-1840.2999999994217,0.0,0.0
32512,60,-2160.6999999991303,447,-29.700000000000152,-2160.6999999991303,0.0,0.0
37738,70,-2504.8999999988173,424,-27.900000000000126,-2504.8999999988173,0.0,0.0
42917,80,-2846.8999999985062,275,-19.400000000000006,-2846.8999999985062,0.0,0.0
49215,90,-3267.4999999981237,286,-18.29999999999999,-3267.4999999981237,0.0,0.0
55376,100,-3678.6999999977497,404,-27.600000000000122,-3678.6999999977497,0.0,0.0
65436,120,-4349.999999998294,183,-12.69999999999997,-4349.999999998294,0.0,0.0
76826,140,-5101.900000001029,191,-12.099999999999973,-5101.900000001029,0.0,0.0
93340,170,-6200.800000005027,912,-63.90000000000064,-6200.800000005027,0.0,0.0
110275,200,-7324.500000009115,1001,-66.30000000000051,-7324.500000009115,0.0,0.0
138460,250,-9192.100000015971,260,-17.69999999999998,-9192.100000015971,17.0,0.0
161993,300,-10761.40000002168,1001,-66.4000000000005,-10761.40000002168,17.0,0.0
216759,400,-14392.40000003489,697,-46.700000000000394,-14392.40000003489,17.0,0.0
269597,500,-17915.50000001985,458,-30.800000000000168,-17915.50000001985,17.0,0.0
321595,600,-21387.69999996932,582,-39.50000000000029,-21387.69999996932,17.0,0.0
376555,700,-25027.299999915776,721,-49.000000000000426,-25027.299999915776,57.0,0.0
425247,800,-28289.19999986831,328,-21.70000000000004,-28289.19999986831,57.0,0.0
481024,900,-32012.099999814134,449,-30.30000000000016,-32012.099999814134,57.0,0.0
532737,1000,-35484.7999997636,573,-38.90000000000028,-35484.7999997636,57.0,0.0
