steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-1.0,3,1.0,1,4.0
12,4,-2.0,3,-1.0,1,6.0
15,5,-1.0,3,1.0,2,6.0
18,6,-2.0,3,-1.0,2,8.0
21,7,-1.0,3,1.0,3,8.0
24,8,-2.0,3,-1.0,3,10.0
27,9,-3.0,3,-1.0,3,12.0
30,10,-2.0,3,1.0,4,12.0
36,12,-2.0,3,1.0,5,14.0
42,14,-4.0,3,-1.0,5,18.0
51,17,-7.0,3,-1.0,5,24.0
60,20,-6.0,3,1.0,7,26.0
75,25,-3.0,3,1.0,11,28.0
90,30,-2.0,3,1.0,14,32.0
120,40,-8.0,3,1.0,16,48.0
150,50,-12.0,3,-1.0,19,62.0
180,60,-8.0,3,-1.0,26,68.0
210,70,-16.0,3,-1.0,27,86.0
240,80,-18.0,3,1.0,31,98.0
270,90,-24.0,3,-1.0,33,114.0
300,100,-28.0,3,-1.0,36,128.0
360,120,-28.0,3,-1.0,46,148.0
420,140,-28.0,3,1.0,56,168.0
510,170,-34.0,3,-1.0,68,204.0
600,200,-34.0,3,-1.0,83,234.0
750,250,-44.0,3,1.0,103,294.0
900,300,-46.0,3,1.0,127,346.0
1200,400,-54.0,3,1.0,173,454.0
1500,500,-58.0,3,-1.0,221,558.0
1800,600,-66.0,3,-1.0,267,666.0
2100,700,-70.0,3,-1.0,315,770.0
2400,800,-72.0,3,-1.0,364,872.0
2700,900,-78.0,3,1.0,411,978.0
3000,1000,-84.0,3,1.0,458,1084.0
3600,1200,-76.0,3,1.0,562,1276.0
4200,1400,-82.0,3,1.0,659,1482.0
5100,1700,-82.0,3,1.0,809,1782.0
6000,2000,-72.0,3,-1.0,964,2072.0
7500,2500,-62.0,3,-1.0,1219,2562.0
9000,3000,-96.0,3,1.0,1452,3096.0
12000,4000,-140.0,3,1.0,1930,4140.0
15000,5000,-162.0,3,-1.0,2419,5162.0
18000,6000,-94.0,3,-1.0,2953,6094.0
21000,7000,-88.0,3,1.0,3456,7088.0
24000,8000,-88.0,3,-1.0,3956,8088.0
27000,9000,-56.0,3,1.0,4472,9056.0
30000,10000,-26.0,3,-1.0,4987,10026.0
