steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
379,1,-25.40000000000009,379,-25.40000000000009,-25.40000000000009,0.0,0.0
782,2,-52.80000000000048,403,-27.40000000000012,-52.80000000000048,0.0,0.0
1783,3,-89.29999999999761,1001,-36.50000000000065,-89.29999999999761,28.0,0.0
2784,4,-153.99999999999395,1001,-64.7000000000006,-153.99999999999395,28.0,0.0
3513,5,-203.19999999999115,729,-49.20000000000043,-203.19999999999115,28.0,0.0
3753,6,-220.0999999999902,240,-16.89999999999997,-220.0999999999902,28.0,0.0
4040,7,-239.1999999999891,287,-19.1,-239.1999999999891,28.0,0.0
4602,8,-274.6999999999924,562,-35.500000000000234,-274.6999999999924,28.0,0.0
5463,9,-330.8000000000051,861,-56.10000000000053,-330.8000000000051,28.0,0.0
5960,10,-362.9000000000124,497,-32.100000000000186,-362.9000000000124,28.0,0.0
7908,12,-492.0000000000418,1001,-66.10000000000052,-492.0000000000418,28.0,0.0
8963,14,-564.7000000000583,423,-29.800000000000153,-564.7000000000583,28.0,0.0
10417,17,-661.9000000000804,217,-14.999999999999963,-661.9000000000804,28.0,0.0
11575,20,-739.500000000098,310,-21.90000000000004,-739.500000000098,28.0,0.0
15203,25,-907.9000000001524,605,-41.50000000000032,-907.9000000001524,99.0,4.599999999999588
17666,30,-1072.3000000001348,484,-32.100000000000186,-1072.3000000001348,99.0,4.599999999999588
22796,40,-1401.3999999998236,898,-58.90000000000057,-1401.3999999998236,112.0,4.599999999999588
29178,50,-1825.8999999994376,410,-27.800000000000125,-1825.8999999994376,112.0,4.599999999999588
34612,60,-2189.6999999991067,491,-32.40000000000019,-2189.6999999991067,112.0,4.599999999999588
40870,70,-2557.499999998735,1001,-51.20000000000066,-2557.499999998735,153.0,4.599999999999588
47801,80,-3007.0999999983133,455,-32.000000000000185,-3007.0999999983133,167.0,4.599999999999588
53891,90,-3412.999999997944,651,-43.60000000000035,-3412.999999997944,167.0,4.599999999999588
60449,100,-3848.7999999975477,871,-57.00000000000054,-3848.7999999975477,167.0,4.599999999999588
72762,120,-4612.199999999148,482,-33.500000000000206,-4612.199999999148,225.0,4.599999999999588
82029,140,-5221.400000001364,747,-50.80000000000045,-5221.400000001364,225.0,4.599999999999588
97262,170,-6239.900000005069,468,-32.100000000000186,-6239.900000005069,225.0,4.599999999999588
112697,200,-7185.100000008781,322,-19.900000000000013,-7185.100000008781,300.0,4.599999999999588
142052,250,-9066.200000015919,230,-16.19999999999996,-9066.200000015919,381.0,4.599999999999588
171249,300,-11018.10000002302,806,-53.100000000000485,-11018.10000002302,381.0,4.599999999999588
226603,400,-14661.400000036361,400,-26.80000000000011,-14661.400000036361,405.0,4.599999999999588
282785,500,-18351.800000013205,772,-23.300000000000413,-18351.800000013205,459.0,4.599999999999588
334290,600,-21726.099999963142,441,-29.60000000000015,-21726.099999963142,525.0,4.599999999999588
387668,700,-25254.199999911,1001,-68.80000000000037,-25254.199999911,580.0,4.599999999999588
438984,800,-28628.89999986089,290,-21.20000000000003,-28628.89999986089,649.0,4.599999999999588
494751,900,-32308.899999806872,523,-35.10000000000023,-32308.899999806872,681.0,4.599999999999588
545610,1000,-35665.39999975725,568,-39.000000000000284,-35665.39999975725,735.0,4.599999999999588
