steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,0.0,3,-1.0,1,2.0
9,3,1.0,3,1.0,2,2.0
12,4,2.0,3,1.0,3,2.0
15,5,1.0,3,-1.0,3,4.0
18,6,2.0,3,1.0,4,4.0
21,7,1.0,3,-1.0,4,6.0
24,8,2.0,3,1.0,5,6.0
27,9,1.0,3,-1.0,5,8.0
30,10,0.0,3,-1.0,5,10.0
36,12,0.0,3,-1.0,6,12.0
42,14,0.0,3,-1.0,7,14.0
51,17,-1.0,3,1.0,8,18.0
60,20,-4.0,3,-1.0,8,24.0
75,25,-3.0,3,-1.0,11,28.0
90,30,-4.0,3,1.0,13,34.0
120,40,-4.0,3,-1.0,18,44.0
150,50,-8.0,3,1.0,21,58.0
180,60,-8.0,3,1.0,26,68.0
210,70,-4.0,3,-1.0,33,74.0
240,80,-4.0,3,-1.0,38,84.0
270,90,-6.0,3,-1.0,42,96.0
300,100,-2.0,3,1.0,49,102.0
360,120,-2.0,3,-1.0,59,122.0
420,140,2.0,3,-1.0,71,138.0
510,170,-4.0,3,1.0,83,174.0
600,200,-8.0,3,-1.0,96,208.0
750,250,6.0,3,-1.0,128,244.0
900,300,10.0,3,-1.0,155,290.0
1200,400,8.0,3,-1.0,204,392.0
1500,500,22.0,3,1.0,261,478.0
1800,600,42.0,3,1.0,321,558.0
2100,700,44.0,3,1.0,372,656.0
2400,800,66.0,3,1.0,433,734.0
2700,900,58.0,3,-1.0,479,842.0
3000,1000,44.0,3,-1.0,522,956.0
3600,1200,58.0,3,1.0,629,1142.0
4200,1400,58.0,3,1.0,729,1342.0
5100,1700,62.0,3,1.0,881,1638.0
6000,2000,68.0,3,-1.0,1034,1932.0
7500,2500,48.0,3,1.0,1274,2452.0
9000,3000,40.0,3,-1.0,1520,2960.0
12000,4000,50.0,3,1.0,2025,3950.0
15000,5000,102.0,3,1.0,2551,4898.0
18000,6000,102.0,3,1.0,3051,5898.0
21000,7000,100.0,3,-1.0,3550,6900.0
24000,8000,112.0,3,-1.0,4056,7888.0
27000,9000,68.0,3,-1.0,4534,8932.0
30000,10000,54.0,3,1.0,5027,9946.0
