steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-3.0,3,-1.0,0,6.0
12,4,-4.0,3,-1.0,0,8.0
15,5,-3.0,3,1.0,1,8.0
18,6,-2.0,3,1.0,2,8.0
21,7,-1.0,3,1.0,3,8.0
24,8,0.0,3,1.0,4,8.0
27,9,-1.0,3,-1.0,4,10.0
30,10,0.0,3,1.0,5,10.0
36,12,-2.0,3,-1.0,5,14.0
42,14,-4.0,3,-1.0,5,18.0
51,17,-3.0,3,1.0,7,20.0
60,20,0.0,3,1.0,10,20.0
75,25,-3.0,3,-1.0,11,28.0
90,30,-4.0,3,-1.0,13,34.0
120,40,-2.0,3,-1.0,19,42.0
150,50,2.0,3,-1.0,26,48.0
180,60,-2.0,3,-1.0,29,62.0
210,70,2.0,3,-1.0,36,68.0
240,80,8.0,3,1.0,44,72.0
270,90,4.0,3,-1.0,47,86.0
300,100,4.0,3,1.0,52,96.0
360,120,0.0,3,1.0,60,120.0
420,140,10.0,3,-1.0,75,130.0
510,170,4.0,3,1.0,87,166.0
600,200,-6.0,3,1.0,97,206.0
750,250,-2.0,3,-1.0,124,252.0
900,300,-4.0,3,1.0,148,304.0
1200,400,-12.0,3,1.0,194,412.0
1500,500,-10.0,3,1.0,245,510.0
1800,600,-14.0,3,-1.0,293,614.0
2100,700,-24.0,3,1.0,338,724.0
2400,800,-16.0,3,1.0,392,816.0
2700,900,-36.0,3,1.0,432,936.0
3000,1000,-44.0,3,1.0,478,1044.0
3600,1200,-24.0,3,-1.0,588,1224.0
4200,1400,-42.0,3,-1.0,679,1442.0
5100,1700,-34.0,3,-1.0,833,1734.0
6000,2000,-4.0,3,-1.0,998,2004.0
7500,2500,-10.0,3,-1.0,1245,2510.0
9000,3000,8.0,3,1.0,1504,2992.0
12000,4000,8.0,3,1.0,2004,3992.0
15000,5000,38.0,3,-1.0,2519,4962.0
18000,6000,-14.0,3,-1.0,2993,6014.0
21000,7000,-8.0,3,-1.0,3496,7008.0
24000,8000,26.0,3,-1.0,4013,7974.0
27000,9000,78.0,3,1.0,4539,8922.0
30000,10000,46.0,3,-1.0,5023,9954.0
