steps,episode,total_return,episode_len,episode_return,total_regret
1,1,200.0,1,200.0,0.8
2,2,400.0,1,200.0,1.6
3,3,1100.0,1,700.0000000000001,1.9
4,4,1300.0,1,200.0,2.7
5,5,1300.0,1,0.0,3.7
6,6,1300.0,1,0.0,4.7
7,7,2000.0,1,700.0000000000001,5.0
8,8,3000.0,1,1000.0,5.0
9,9,3900.0,1,900.0,5.1
10,10,4800.0,1,900.0,5.199999999999999
12,12,5600.0,1,0.0,6.3999999999999995
14,14,6800.0,1,600.0000000000001,7.199999999999999
17,17,7400.0,1,0.0,9.6
20,20,8800.0,1,200.0,11.200000000000001
25,25,11200.0,1,200.0,13.800000000000002
30,30,12400.0,1,300.00000000000006,17.6
40,40,16200.0,1,200.0,23.8
50,50,21900.0,1,800.0,28.099999999999998
60,60,26700.0,1,200.0,33.3
70,70,32200.0,1,700.0000000000001,37.8
80,80,36700.0,1,300.00000000000006,43.3
90,90,41200.0,1,400.0,48.8
100,100,46100.0,1,1000.0,53.89999999999999
120,120,56000.0,1,500.0,63.999999999999986
140,140,68500.0,1,800.0,71.49999999999997
170,170,82300.0,1,700.0000000000001,87.69999999999995
200,200,96800.0,1,900.0,103.19999999999999
250,250,122500.0,1,500.0,127.50000000000001
300,300,146200.0,1,200.0,153.8
400,400,197000.0,1,0.0,202.99999999999991
500,500,247300.0,1,200.0,252.69999999999993
600,600,301800.0,1,100.0,298.20000000000005
700,700,349700.0,1,0.0,350.3
800,800,400200.0,1,400.0,399.8
900,900,447000.0,1,900.0,453.00000000000006
1000,1000,498400.0,1,900.0,501.59999999999997
1200,1200,599400.0,1,300.00000000000006,600.6000000000006
1400,1400,705700.0,1,1000.0,694.3000000000006
1700,1700,855700.0,1,1000.0,844.3000000000004
2000,2000,1005000.0,1,600.0000000000001,995.0000000000006
2500,2500,1249200.0,1,500.0,1250.8000000000004
3000,3000,1500700.0,1,700.0000000000001,1499.3000000000006
4000,4000,1999200.0,1,900.0,2000.7999999999986
5000,5000,2508100.0,1,300.00000000000006,2491.899999999999
6000,6000,2976600.0,1,100.0,3023.399999999996
7000,7000,3476400.0,1,200.0,3523.5999999999976
8000,8000,3973300.0,1,500.0,4026.7
9000,9000,4469700.0,1,600.0000000000001,4530.299999999999
10000,10000,4960800.0,1,600.0000000000001,5039.199999999988
