steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
38,1,-0.003684210526315788,38,-0.003684210526315788,1,0
76,2,-0.009210526315789468,38,-0.005526315789473681,2,0
114,3,-0.014210526315789463,38,-0.0049999999999999975,3,0
152,4,-0.018421052631578953,38,-0.004210526315789472,4,0
190,5,-0.02263157894736845,38,-0.004210526315789472,5,0
228,6,-0.027894736842105323,38,-0.005263157894736839,6,0
266,7,-0.03263157894736849,38,-0.004736842105263156,7,0
304,8,-0.039736842105263175,38,-0.0071052631578947326,8,0
342,9,-0.04605263157894734,38,-0.006315789473684207,9,0
380,10,-0.0510526315789473,38,-0.0049999999999999975,10,0
456,12,-0.06210526315789459,38,-0.006315789473684207,12,0
532,14,-0.07184210526315768,38,-0.004736842105263156,14,0
646,17,-0.08684210526315757,38,-0.005263157894736839,17,0
760,20,-0.10105263157894694,38,-0.005263157894736839,20,0
950,25,-0.12421052631578887,38,-0.005526315789473681,25,0
1140,30,-0.15105263157894794,38,-0.005263157894736839,30,0
1520,40,-0.20026315789473964,38,-0.004210526315789472,40,0
1900,50,-0.2463157894736891,38,-0.004473684210526314,50,0
2280,60,-0.29763157894737563,38,-0.004473684210526314,60,0
2660,70,-0.35184210526316756,38,-0.005263157894736839,70,0
3040,80,-0.39815789473685387,38,-0.003684210526315788,80,0
3420,90,-0.4460526315789613,38,-0.005263157894736839,90,0
3800,100,-0.4981578947368584,38,-0.004210526315789472,100,0
4560,120,-0.5984210526315997,38,-0.0049999999999999975,120,0
5320,140,-0.6931578947368672,38,-0.0049999999999999975,140,0
6460,170,-0.8386842105263475,38,-0.003684210526315788,170,0
7600,200,-0.9884210526316174,38,-0.0031578947368421043,200,0
9500,250,-1.230263157894689,38,-0.004473684210526314,250,0
11400,300,-1.4673684210524944,38,-0.0049999999999999975,300,0
15200,400,-1.9713157894733573,38,-0.004210526315789472,400,0
19000,500,-2.4649999999994874,38,-0.006315789473684207,500,0
22800,600,-2.95605263157825,38,-0.003421052631578946,600,0
26600,700,-3.4568421052622718,38,-0.005263157894736839,700,0
30400,800,-3.950263157893665,38,-0.004473684210526314,800,0
34200,900,-4.459736842103999,38,-0.0049999999999999975,900,0
38000,1000,-4.947894736840658,38,-0.004736842105263156,1000,0
45600,1200,-5.950789473682385,38,-0.004473684210526314,1200,0
53200,1400,-6.954473684208323,38,-0.003684210526315788,1400,0
64600,1700,-8.447894736840851,38,-0.005526315789473681,1700,0
76000,2000,-9.967631578950671,38,-0.005789473684210523,2000,0
95000,2500,-12.492105263168767,38,-0.005789473684210523,2500,0
114000,3000,-15.007894736860521,38,-0.003421052631578946,3000,0
152000,4000,-20.015789473690536,38,-0.005263157894736839,4000,0
190000,5000,-25.052105263145325,38,-0.006578947368421049,5000,0
228000,6000,-30.084736842073813,38,-0.00394736842105263,6000,0
266000,7000,-35.09526315784449,38,-0.005789473684210523,7000,0
304000,8000,-40.03342105256281,38,-0.003421052631578946,8000,0
342000,9000,-45.0073684209652,38,-0.004210526315789472,9000,0
380000,10000,-50.00736842094644,38,-0.003421052631578946,10000,0
