steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.1,100,1.1
300,3,3.1,100,1.0
400,4,4.1,100,1.0
500,5,5.1,100,1.0
600,6,6.1,100,1.0
700,7,7.1,100,1.0
800,8,8.1,100,1.0
900,9,9.1,100,1.0
1000,10,10.2,100,1.1
1200,12,12.2,100,1.0
1400,14,14.2,100,1.0
1700,17,17.299999999999997,100,1.0
2000,20,20.299999999999997,100,1.0
2500,25,25.5,100,1.0
3000,30,30.6,100,1.0
4000,40,40.800000000000004,100,1.0
5000,50,51.00000000000001,100,1.0
6000,60,61.30000000000001,100,1.0
7000,70,71.30000000000001,100,1.0
8000,80,81.6,100,1.0
9000,90,91.89999999999998,100,1.1
10000,100,101.99999999999997,100,1.0
12000,120,122.59999999999994,100,1.0
14000,140,142.99999999999991,100,1.1
17000,170,173.59999999999988,100,1.0
20000,200,204.09999999999985,100,1.0
25000,250,255.0999999999998,100,1.1
30000,300,305.79999999999995,100,1.0
40000,400,407.50000000000034,100,1.0
50000,500,509.30000000000075,100,1.0
60000,600,611.6000000000013,100,1.0
70000,700,714.0000000000018,100,1.1
80000,800,816.0000000000023,100,1.0
90000,900,917.6000000000026,100,1.0
100000,1000,1019.6000000000031,100,1.0
