steps,episode,total_return,episode_len,episode_return,total_regret
20,1,4.0,20,4.0,2.0
40,2,6.0,20,2.0,4.0
60,3,6.0,20,0.0,6.0
80,4,8.0,20,2.0,6.0
100,5,6.0,20,-2.0,6.0
120,6,4.0,20,-2.0,6.0
140,7,2.0,20,-2.0,8.0
160,8,4.0,20,2.0,10.0
180,9,-2.0,20,-6.0,12.0
200,10,-2.0,20,0.0,14.0
240,12,-8.0,20,-4.0,18.0
280,14,-6.0,20,4.0,18.0
340,17,-6.0,20,2.0,20.0
400,20,-6.0,20,2.0,22.0
500,25,-18.0,20,2.0,24.0
600,30,-26.0,20,-2.0,28.0
800,40,-26.0,20,0.0,44.0
1000,50,-46.0,20,-6.0,52.0
1200,60,-56.0,20,-4.0,68.0
1400,70,-64.0,20,-12.0,74.0
1600,80,-90.0,20,4.0,88.0
1800,90,-72.0,20,2.0,98.0
2000,100,-70.0,20,-2.0,110.0
2400,120,-98.0,20,10.0,136.0
2800,140,-74.0,20,-8.0,154.0
3400,170,-72.0,20,-10.0,184.0
4000,200,-92.0,20,0.0,212.0
5000,250,-128.0,20,0.0,268.0
6000,300,-154.0,20,2.0,310.0
8000,400,-178.0,20,4.0,422.0
10000,500,-232.0,20,4.0,528.0
12000,600,-232.0,20,2.0,638.0
14000,700,-226.0,20,4.0,738.0
16000,800,-230.0,20,2.0,838.0
18000,900,-266.0,20,-6.0,932.0
20000,1000,-278.0,20,6.0,1034.0
24000,1200,-320.0,20,-8.0,1226.0
28000,1400,-320.0,20,-4.0,1430.0
34000,1700,-314.0,20,2.0,1720.0
40000,2000,-398.0,20,2.0,2044.0
50000,2500,-506.0,20,-2.0,2566.0
60000,3000,-310.0,20,-6.0,3072.0
80000,4000,-420.0,20,-4.0,4084.0
100000,5000,-612.0,20,6.0,5090.0
120000,6000,-520.0,20,-4.0,6122.0
140000,7000,-410.0,20,-4.0,7118.0
160000,8000,-580.0,20,0.0,8144.0
180000,9000,-826.0,20,6.0,9186.0
200000,10000,-666.0,20,2.0,10162.0
