steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
366,1,-24.500000000000078,366,-24.500000000000078,-24.500000000000078,0.0,0.0
845,2,-57.20000000000054,479,-32.700000000000195,-57.20000000000054,0.0,0.0
1512,3,-100.49999999999856,667,-43.300000000000345,-100.49999999999856,0.0,0.0
2321,4,-152.9999999999956,809,-52.500000000000476,-152.9999999999956,0.0,0.0
2998,5,-196.19999999999314,677,-43.200000000000344,-196.19999999999314,0.0,0.0
3564,6,-234.49999999999096,566,-38.300000000000274,-234.49999999999096,0.0,0.0
3835,7,-253.0999999999899,271,-18.599999999999994,-253.0999999999899,0.0,0.0
4470,8,-294.1999999999984,635,-41.100000000000314,-294.1999999999984,0.0,0.0
5406,9,-354.8000000000122,936,-60.60000000000059,-354.8000000000122,0.0,0.0
6407,10,-421.3000000000273,1001,-66.5000000000005,-421.3000000000273,0.0,0.0
8271,12,-545.4000000000555,863,-58.30000000000056,-545.4000000000555,0.0,0.0
9759,14,-644.1000000000779,551,-36.300000000000246,-644.1000000000779,0.0,0.0
10895,17,-721.1000000000954,464,-30.400000000000162,-721.1000000000954,0.0,0.0
12266,20,-811.800000000116,584,-38.10000000000027,-811.800000000116,0.0,0.0
15498,25,-1012.8000000001647,1001,-67.20000000000046,-1012.8000000001647,13.0,0.0
17504,30,-1146.7000000000555,495,-31.900000000000183,-1146.7000000000555,13.0,0.0
21938,40,-1443.4999999997856,741,-48.50000000000042,-1443.4999999997856,13.0,0.0
28149,50,-1855.1999999994111,466,-31.500000000000178,-1855.1999999994111,13.0,0.0
33308,60,-2200.4999999990973,497,-33.2000000000002,-2200.4999999990973,13.0,0.0
39527,70,-2609.999999998725,582,-39.9000000000003,-2609.999999998725,13.0,0.0
45177,80,-2986.3999999983826,1001,-67.10000000000046,-2986.3999999983826,13.0,0.0
50295,90,-3326.1999999980735,342,-24.200000000000074,-3326.1999999980735,13.0,0.0
55340,100,-3663.299999997767,369,-25.30000000000009,-3663.299999997767,13.0,0.0
66070,120,-4380.399999998408,301,-21.20000000000003,-4380.399999998408,13.0,0.0
76814,140,-5088.200000000983,733,-48.00000000000041,-5088.200000000983,13.0,0.0
91433,170,-6040.500000004513,293,-20.100000000000016,-6040.500000004513,31.0,0.0
106539,200,-7043.600000008162,433,-29.400000000000148,-7043.600000008162,31.0,0.0
132113,250,-8751.000000014374,587,-38.300000000000274,-8751.000000014374,31.0,0.0
156642,300,-10350.200000020322,1001,-64.40000000000062,-10350.200000020322,67.0,0.0
207907,400,-13740.000000032709,527,-35.10000000000023,-13740.000000032709,82.0,0.0
260220,500,-17222.700000029963,597,-38.60000000000028,-17222.700000029963,93.0,0.0
314270,600,-20801.59999997768,358,-24.400000000000077,-20801.59999997768,107.0,0.0
370417,700,-24483.599999922848,298,-20.40000000000002,-24483.599999922848,193.0,0.0
426155,800,-28212.599999868584,505,-32.700000000000195,-28212.599999868584,193.0,0.0
480533,900,-31769.899999815756,925,-59.60000000000058,-31769.899999815756,266.0,0.0
532927,1000,-35288.49999976456,566,-39.30000000000029,-35288.49999976456,266.0,0.0
