steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.2,1,0.2,0.8
2,2,0.4,1,0.2,1.6
3,3,1.1,1,0.7000000000000001,1.9
4,4,1.3,1,0.2,2.7
5,5,1.6,1,0.30000000000000004,3.4000000000000004
6,6,1.9000000000000001,1,0.30000000000000004,4.1000000000000005
7,7,2.6,1,0.7000000000000001,4.4
8,8,3.0,1,0.4,5.0
9,9,3.1,1,0.1,5.9
10,10,3.2,1,0.1,6.800000000000001
12,12,4.4,1,0.30000000000000004,7.6000000000000005
14,14,6.4,1,1.0,7.6000000000000005
17,17,7.8999999999999995,1,0.30000000000000004,9.1
20,20,8.699999999999998,1,0.2,11.3
25,25,10.599999999999996,1,0.2,14.400000000000002
30,30,13.099999999999998,1,0.6000000000000001,16.9
40,40,17.9,1,0.2,22.099999999999998
50,50,23.1,1,0.9,26.899999999999995
60,60,28.0,1,0.2,31.999999999999996
70,70,32.6,1,0.7000000000000001,37.39999999999999
80,80,37.89999999999999,1,0.6000000000000001,42.1
90,90,42.49999999999999,1,0.5,47.5
100,100,46.89999999999999,1,0.4,53.1
120,120,55.39999999999999,1,0.8,64.6
140,140,63.9,1,0.9,76.1
170,170,78.9,1,0.7000000000000001,91.1
200,200,92.3,1,0.1,107.7
250,250,116.90000000000002,1,0.8,133.09999999999997
300,300,139.39999999999998,1,0.2,160.6
400,400,189.39999999999992,1,0.30000000000000004,210.60000000000005
500,500,234.0999999999998,1,0.2,265.9000000000002
600,600,288.4999999999997,1,0.0,311.50000000000045
700,700,337.99999999999943,1,0.30000000000000004,362.00000000000074
800,800,386.09999999999934,1,0.5,413.90000000000083
900,900,438.1999999999993,1,0.1,461.80000000000086
1000,1000,491.69999999999925,1,0.1,508.3000000000009
1200,1200,588.0999999999987,1,0.6000000000000001,611.9000000000013
1400,1400,684.199999999998,1,0.4,715.800000000002
1700,1700,838.099999999998,1,0.4,861.900000000002
2000,2000,997.1999999999972,1,1.0,1002.8000000000028
2500,2500,1251.0999999999985,1,0.8,1248.9000000000017
3000,3000,1499.0999999999976,1,0.7000000000000001,1500.9000000000026
4000,4000,2003.2999999999934,1,0.1,1996.7000000000069
5000,5000,2523.6999999999935,1,0.6000000000000001,2476.3000000000075
6000,6000,3019.5999999999926,1,0.0,2980.4000000000083
7000,7000,3537.1999999999944,1,0.2,3462.8000000000065
8000,8000,4036.899999999992,1,0.8,3963.100000000009
9000,9000,4542.0999999999985,1,1.0,4457.900000000002
10000,10000,5046.900000000001,1,1.0,4953.1
