steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-30.00000000000038,1000,-30.00000000000038,-1000.0
2000,2,-60.00000000000151,1000,-30.00000000000038,-2000.0
3000,3,-90.00000000000264,1000,-30.00000000000038,-3000.0
4000,4,-120.00000000000378,1000,-30.00000000000038,-4000.0
5000,5,-150.00000000000492,1000,-30.00000000000038,-5000.0
6000,6,-180.00000000000605,1000,-30.00000000000038,-6000.0
7000,7,-210.0000000000072,1000,-30.00000000000038,-7000.0
8000,8,-240.00000000000833,1000,-30.00000000000038,-8000.0
9000,9,-269.9999999999962,1000,-30.00000000000038,-9000.0
10000,10,-299.9999999999689,1000,-30.00000000000038,-10000.0
12000,12,-359.99999999991434,1000,-30.00000000000038,-12000.0
14000,14,-419.99999999985977,1000,-30.00000000000038,-14000.0
17000,17,-509.9999999997779,1000,-30.00000000000038,-17000.0
20000,20,-599.9999999996961,1000,-30.00000000000038,-20000.0
25000,25,-749.9999999995597,1000,-30.00000000000038,-25000.0
30000,30,-899.9999999994233,1000,-30.00000000000038,-30000.0
40000,40,-1199.9999999991505,1000,-30.00000000000038,-40000.0
50000,50,-1499.9999999988777,1000,-30.00000000000038,-50000.0
60000,60,-1799.9999999986048,1000,-30.00000000000038,-60000.0
70000,70,-2099.9999999987263,1000,-30.00000000000038,-70000.0
80000,80,-2400.000000000727,1000,-30.00000000000038,-80000.0
90000,90,-2700.000000002728,1000,-30.00000000000038,-90000.0
100000,100,-3000.000000004729,1000,-30.00000000000038,-100000.0
120000,120,-3600.0000000087307,1000,-30.00000000000038,-120000.0
140000,140,-4200.000000011156,1000,-30.00000000000038,-140000.0
170000,170,-5100.000000003516,1000,-30.00000000000038,-170000.0
200000,200,-5999.999999995876,1000,-30.00000000000038,-200000.0
250000,250,-7499.999999983143,1000,-30.00000000000038,-250000.0
300000,300,-8999.999999994907,1000,-30.00000000000038,-300000.0
400000,400,-12000.00000006039,1000,-30.00000000000038,-400000.0
500000,500,-15000.000000125874,1000,-30.00000000000038,-500000.0
600000,600,-18000.000000093376,1000,-30.00000000000038,-600000.0
700000,700,-20999.99999997696,1000,-30.00000000000038,-700000.0
800000,800,-23999.999999860545,1000,-30.00000000000038,-800000.0
900000,900,-26999.99999974413,1000,-30.00000000000038,-900000.0
1000000,1000,-29999.999999627715,1000,-30.00000000000038,-1000000.0
