steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-3.0,3,-1.0,0,6.0
12,4,-2.0,3,1.0,1,6.0
15,5,-3.0,3,-1.0,1,8.0
18,6,-2.0,3,1.0,2,8.0
21,7,-3.0,3,-1.0,2,10.0
24,8,-2.0,3,1.0,3,10.0
27,9,-1.0,3,1.0,4,10.0
30,10,-2.0,3,-1.0,4,12.0
36,12,-4.0,3,-1.0,4,16.0
42,14,-4.0,3,-1.0,5,18.0
51,17,-1.0,3,1.0,8,18.0
60,20,2.0,3,1.0,11,18.0
75,25,1.0,3,1.0,13,24.0
90,30,-2.0,3,-1.0,14,32.0
120,40,0.0,3,-1.0,20,40.0
150,50,-2.0,3,1.0,24,52.0
180,60,0.0,3,-1.0,30,60.0
210,70,6.0,3,1.0,38,64.0
240,80,0.0,3,-1.0,40,80.0
270,90,2.0,3,1.0,46,88.0
300,100,0.0,3,1.0,50,100.0
360,120,0.0,3,-1.0,60,120.0
420,140,0.0,3,1.0,70,140.0
510,170,6.0,3,1.0,88,164.0
600,200,10.0,3,1.0,105,190.0
750,250,10.0,3,1.0,130,240.0
900,300,4.0,3,1.0,152,296.0
1200,400,24.0,3,1.0,212,376.0
1500,500,34.0,3,1.0,267,466.0
1800,600,34.0,3,-1.0,317,566.0
2100,700,30.0,3,1.0,365,670.0
2400,800,44.0,3,1.0,422,756.0
2700,900,48.0,3,1.0,474,852.0
3000,1000,48.0,3,-1.0,524,952.0
3600,1200,32.0,3,-1.0,616,1168.0
4200,1400,30.0,3,-1.0,715,1370.0
5100,1700,20.0,3,1.0,860,1680.0
6000,2000,2.0,3,-1.0,1001,1998.0
7500,2500,28.0,3,1.0,1264,2472.0
9000,3000,22.0,3,-1.0,1511,2978.0
12000,4000,-10.0,3,-1.0,1995,4010.0
15000,5000,-92.0,3,-1.0,2454,5092.0
18000,6000,-80.0,3,1.0,2960,6080.0
21000,7000,-130.0,3,-1.0,3435,7130.0
24000,8000,-106.0,3,-1.0,3947,8106.0
27000,9000,-186.0,3,1.0,4407,9186.0
30000,10000,-176.0,3,1.0,4912,10176.0
