steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
56,1,55.0,56,55.0,55.0,55.0
127,2,125.0,71,70.0,125.0,70.0
191,3,188.0,64,63.0,188.0,70.0
294,4,290.0,103,102.0,290.0,102.0
394,5,389.0,100,99.0,389.0,102.0
467,6,461.0,73,72.0,461.0,102.0
552,7,545.0,85,84.0,545.0,102.0
637,8,629.0,85,84.0,629.0,102.0
703,9,694.0,66,65.0,694.0,102.0
764,10,754.0,61,60.0,754.0,102.0
878,12,866.0,51,50.0,866.0,102.0
1060,14,1046.0,98,97.0,1046.0,102.0
1286,17,1269.0,70,69.0,1269.0,102.0
1563,20,1543.0,93,92.0,1543.0,121.0
1946,25,1921.0,82,81.0,1921.0,121.0
2365,30,2335.0,96,95.0,2335.0,121.0
3143,40,3103.0,120,119.0,3103.0,121.0
3976,50,3926.0,64,63.0,3926.0,146.0
4743,60,4683.0,61,60.0,4683.0,146.0
5595,70,5525.0,156,155.0,5525.0,155.0
6423,80,6343.0,94,93.0,6343.0,155.0
7137,90,7047.0,68,67.0,7047.0,155.0
7947,100,7847.0,53,52.0,7847.0,155.0
9661,120,9541.0,52,51.0,9541.0,155.0
11243,140,11103.0,46,45.0,11103.0,155.0
14033,170,13863.0,91,90.0,13863.0,223.0
16348,200,16148.0,50,49.0,16148.0,223.0
20454,250,20204.0,136,135.0,20204.0,223.0
24276,300,23976.0,80,79.0,23976.0,223.0
32150,400,31750.0,101,100.0,31750.0,223.0
40155,500,39655.0,90,89.0,39655.0,223.0
48086,600,47486.0,72,71.0,47486.0,223.0
56542,700,55842.0,62,61.0,55842.0,223.0
64848,800,64048.0,127,126.0,64048.0,223.0
72919,900,72019.0,78,77.0,72019.0,223.0
80890,1000,79890.0,73,72.0,79890.0,223.0
