steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
91,1,1.0,91,1.0,1,0.0
182,2,2.0,91,1.0,2,0.0
273,3,1.0,91,-1.0,2,2.0
364,4,0.0,91,-1.0,2,4.0
455,5,1.0,91,1.0,3,4.0
546,6,0.0,91,-1.0,3,6.0
637,7,-1.0,91,-1.0,3,8.0
728,8,-2.0,91,-1.0,3,10.0
819,9,-1.0,91,1.0,4,10.0
910,10,0.0,91,1.0,5,10.0
1092,12,-2.0,91,-1.0,5,14.0
1274,14,-2.0,91,1.0,6,16.0
1547,17,-3.0,91,1.0,7,20.0
1820,20,-4.0,91,1.0,8,24.0
2275,25,-1.0,91,1.0,12,26.0
2730,30,-2.0,91,1.0,14,32.0
3640,40,-4.0,91,-1.0,18,44.0
4550,50,-8.0,91,-1.0,21,58.0
5460,60,-8.0,91,-1.0,26,68.0
6370,70,-6.0,91,1.0,32,76.0
7280,80,-10.0,91,-1.0,35,90.0
8190,90,-12.0,91,1.0,39,102.0
9100,100,-6.0,91,1.0,47,106.0
10920,120,-2.0,91,-1.0,59,122.0
12740,140,-8.0,91,-1.0,66,148.0
15470,170,-8.0,91,-1.0,81,178.0
18200,200,-10.0,91,-1.0,95,210.0
22750,250,-10.0,91,1.0,120,260.0
27300,300,-10.0,91,-1.0,145,310.0
36400,400,-8.0,91,1.0,196,408.0
45500,500,-12.0,91,-1.0,244,512.0
54600,600,-20.0,91,-1.0,290,620.0
63700,700,-20.0,91,1.0,340,720.0
72800,800,-14.0,91,1.0,393,814.0
81900,900,-18.0,91,-1.0,441,918.0
91000,1000,-22.0,91,-1.0,489,1022.0
109200,1200,-2.0,91,1.0,599,1202.0
127400,1400,12.0,91,-1.0,706,1388.0
154700,1700,10.0,91,-1.0,855,1690.0
182000,2000,34.0,91,-1.0,1017,1966.0
227500,2500,26.0,91,1.0,1263,2474.0
273000,3000,68.0,91,-1.0,1534,2932.0
364000,4000,56.0,91,-1.0,2028,3944.0
455000,5000,70.0,91,-1.0,2535,4930.0
546000,6000,84.0,91,-1.0,3042,5916.0
637000,7000,124.0,91,-1.0,3562,6876.0
728000,8000,142.0,91,1.0,4071,7858.0
819000,9000,100.0,91,1.0,4550,8900.0
910000,10000,94.0,91,-1.0,5047,9906.0
