steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
67,1,133.095002965062,67,133.095002965062,66.0,66.0
219,2,248.4698083569676,152,115.37480539190571,217.0,151.0
276,3,280.0293883176774,57,31.55957996070983,273.0,151.0
347,4,393.2404103949417,71,113.21102207726416,343.0,151.0
399,5,370.5787415600719,52,-22.661668834869676,394.0,151.0
574,6,474.8411112485548,175,104.26236968848302,568.0,174.0
655,7,617.1539948746027,81,142.31288362604758,648.0,174.0
714,8,831.4008274556348,59,214.24683258103244,706.0,174.0
776,9,912.4252016366856,62,81.02437418105096,767.0,174.0
820,10,860.1677669588736,44,-52.25743467781206,810.0,174.0
1001,12,1016.0283023336408,125,79.42096209857014,989.0,174.0
1145,14,1299.367520033488,79,216.9283044034325,1131.0,174.0
1405,17,1737.3235961699033,50,50.0444715005346,1388.0,174.0
1603,20,1820.1080737677255,64,-11.401336771160565,1583.0,174.0
1978,25,1961.9893092413504,61,-9.576614401646154,1953.0,174.0
2385,30,2335.6773432794625,63,59.570733155948815,2355.0,174.0
3172,40,3376.850100396642,74,175.37786052167382,3132.0,174.0
3811,50,4303.59194513124,87,252.2301385855253,3761.0,174.0
4564,60,5101.463050755956,92,215.97311883402497,4504.0,174.0
5290,70,5592.587855122215,60,-17.351449804597713,5220.0,174.0
6189,80,6338.613247671222,91,70.76046535724595,6109.0,194.0
6870,90,7176.849256454402,55,86.49474282149424,6780.0,194.0
7667,100,7924.269407301765,47,4.139783745823437,7567.0,194.0
9278,120,9676.905034233556,121,150.85271543430775,9158.0,194.0
10870,140,11426.641569917067,51,146.43355289683979,10730.0,194.0
13354,170,14272.744971925646,145,-32.4342839648751,13184.0,194.0
16065,200,17146.140943228755,128,349.8293961590771,15865.0,194.0
20394,250,21366.97091119869,69,89.07002921469238,20144.0,194.0
24277,300,25196.659364775318,90,87.55743954150383,23977.0,194.0
32135,400,32778.94392546326,72,-10.964956283329261,31735.0,194.0
40241,500,38797.9280074082,54,-60.392248800183715,39741.0,194.0
48209,600,45565.42065691492,73,16.489961673044316,47609.0,205.0
56400,700,55363.27632243345,52,131.08107345789884,55700.0,205.0
64362,800,65346.598721639806,74,31.85274569081818,63562.0,205.0
72045,900,72618.70575547093,104,199.3059993085005,71145.0,205.0
79506,1000,79502.51334732014,89,128.8751231276921,78506.0,205.0
